compiled_by,allometry_ID_manual,group,subgroup,Family,taxonID,acceptedTaxonID,Common name,genus,specificEpithet,FIA Species Code,Taxon ID Notes,minDiameter,maxDiameter,dbh range (cm),Initials and References Used and Other Notes,Excluding Factor,need_density,spg_gcm3,Zanne et al Reference Number,density_source,decid_vs_ever,decid_vs_ever_source,woodland_vs_forest,woodland_vs_forest_source
WG_75,C2,conifer,Abies >= 0.35 spg,Pinaceae,ABAM,,"Fir, Pacific silver",Abies,amabilis,11,,4,9,4 – 109,,,,0.4,,,,,forest,WG_75
WG_75,C1,conifer,Abies < 0.35 spg*,Pinaceae,ABBA,,"Fir, balsam",Abies,balsamea,12,,3,51,3 – 51,,,,0.33,,,,,forest,WG_75
WG_75,C2,conifer,Abies >= 0.35 spg,Pinaceae,ABCO,,"Fir, white",Abies,concolor,15,,7,8,7–158,,,,0.37,,,,,forest,WG_75
WG_75,C1,conifer,Abies < 0.35 spg*,Pinaceae,ABFR,,"Fir, Fraser",Abies,fraseri,16,,7,25,7 – 25,,,,0.33,,,,,forest,WG_75
WG_75,C2,conifer,Abies >= 0.35 spg,Pinaceae,ABGR,,"Fir, grand",Abies,grandis,,,,,,Added by kj,,,0.35,,worldagroforstr.org,,,forest,WG_75
WG_75,C1,conifer,Abies < 0.35 spg*,Pinaceae,ABLA,,"Fir, subalpine",Abies,lasiocarpa,19,,3,69,3 – 69,,,,0.31,,,,,forest,WG_75
WG_75,C1,conifer,Abies < 0.35 spg*,Pinaceae,ABLAL,,"Fir, subalpine",Abies,lasiocarpa var.lasiocarpa,19,,3,69,3 – 69,,,,0.31,,,,,forest,WG_75
WG_75,C2,conifer,Abies >= 0.35 spg,Pinaceae,ABLO,,"Fir, white",Abies,lowiana,,syn ABCOL Abies concolor var lowiana,,,,added by kj - A. concolor var lowania syn; Sr- SPG of higher taxonomic level used,,,0.37,,,,,forest,http://usnvc.org/explore-classification/
WG_75,C2,conifer,Abies >= 0.35 spg,Pinaceae,ABMA,,"Fir, California red",Abies,magnifica,,,,,,added by kj,,,0.36,,,,,forest,WG_75
SMS,,,,Pinaceae,ABPR,ABPR,,Abies,procera,,,,,,,,yes,0.37,,Zanne et al 2009,,,forest,http://usnvc.org/explore-classification/
WG_75,C2,conifer,Abies >= 0.35 spg,Pinaceae,ABIES,,"Fir, Pacific silver - noble - other",Abies,sp.,10,,9,11,9 – 111,,,,0.39,,,,,forest,WG_75
SMS,H9,,,Fabaceae,ABPR3,ABPR3,,Abrus,precatorius,,,,,,,,no,,,,,,woodland,
WG_75,W2,woodland,Fabaceae/Rosaceae,Fabaceae,ACCO2,,,Acacia,constricta,,syn VACC09 Vachellia constricta,,,,SR - SPG not known; Woodland allometry assigned based on multi bole growth and desert distribution. Could potentially be H9,,,,,,,,woodland,WG_75
SMS,H9,,,Fabaceae,ACFA,ACFA,,Acacia,farnesiana,,,,,,,,no,0.813,,Zanne et al 2009; average of 4 Mexican or Central American species,,,woodland,http://usnvc.org/explore-classification/
WG_75,W2,woodland,Fabaceae/Rosaceae,Fabaceae,ACGR,,,Acacia,greggii,,syn SEGR4 Senagalia greggii,,,,SR - SPG not known; Woodland allometry assigned based on multi bole growth and desert distribution. Could potentially be H9,,,,,,,,woodland,WG_75
WG_75,,,,Fabaceae,ACKO,,,Acacia,koa,,,,,,SR,Hawaii,,0.55,,Asner et al 2011 FEE - citing Chave et al 2009 - same value as Skolmen 1974,,,forest,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,ACRE4,ACRE4,,Acacia,retusa,,,,,,,,no,0.813,,Zanne et al 2009; average of 4 Mexican or Central American species,,,woodland,http://usnvc.org/explore-classification/
WG_75,H2,hardwood,Aceraceae >= 0.50 spg,Aceraceae,ACBA3,,,Acer,barbatum,,,,,,"SR- syn for A. floridanum, spg for that species used. Allometry assigned based on SPG.",,,0.56,,,,,,
WG_75,H2,hardwood,Aceraceae >= 0.50 spg,Aceraceae,ACCI,,Vine maple,Acer,circinatum,,,,,,"SR- other species in the palmatum group of maples have SPG >0.5, used this as a guide for allometry selection",,,0.51,,,,,,
WG_75,H2,hardwood,Aceraceae >= 0.50 spg,Aceraceae,ACFL,,,Acer,floridanum,,,,,,SR. Allometry asigned based on SPG,,,0.56,,"Jenkins, Chojnacky, et al 2004",,,,
SMS,,,,Aceraceae,ACGL,ACGL,,Acer,glabrum,,,,,,,,yes,0.468,,Zanne et al 2009; average of 8 NA species,,,,
SMS,,,,Aceraceae,ACGLD4,ACGLD4,,Acer,glabrum,,,,,,,,yes,0.468,,Zanne et al 2009; average of 8 NA species,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACMA3,,"Maple, bigleaf",Acer,macrophyllum,312,,5,46,5 – 46,,,,0.44,,,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACNE2,,Box elder,Acer,negundo,,,,,,AQ. Allometry assigned using SPG.,,,0.416,6,Zanne et al 2009,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACNEN,,Box elder,Acer,negundo var. negundo,,,,,,AQ. Allometry assigned using SPG.,,,0.416,6,Zanne et al 2009,,,,
WG_75,H2,hardwood,Aceraceae >= 0.50 spg,Aceraceae,ACNI5,,Black maple,Acer,nigrum,,,,,,AQ. Allometry assigned using SPG.,,,0.52,6,Zanne et al 2009,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACPE,,"Maple, striped",Acer,pensylvanicum,315,,3,13,3 – 13,,,,0.44,,,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACRU,,"Maple, red",Acer,rubrum,316,,3,66,3 – 66,AQ. Allometry assigned using SPG.,,,0.49,6,Zanne et al 2009,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACRUR,,Red maple,Acer,rubrum var. rubrum,,,3,66,3 – 66,AQ. Allometry assigned using SPG.,,,0.49,6,Zanne et al 2009,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACSA2,,"Maple, silver",Acer,saccharinum,317,,4,45,4 – 45,,,,0.44,,,,,,
WG_75,H2,hardwood,Aceraceae >= 0.50 spg,Aceraceae,ACSA3,,"Maple, sugar",Acer,saccharum,318,,3,70,3 – 70,AQ. Allometry assigned using SPG.,,,0.56,6,Zanne et al 2009,,,,
