compiled_by,allometry_ID_manual,group,subgroup,Family,taxonID,acceptedTaxonID,Common name,genus,specificEpithet,FIA Species Code,spg_gcm3,minDiameter,maxDiameter,dbh range (cm),Taxon ID Notes,Zanne et al Reference Number,Initials and References Used and Other Notes,Excluding Factor,density_source,need_density,decid_vs_ever,decid_vs_ever_source,woodland_vs_forest,woodland_vs_forest_source
WG_75,C2,conifer,Abies >= 0.35 spg,Pinaceae,ABAM,,"Fir, Pacific silver",Abies,amabilis,11,0.4,4,9,4 – 109,,,,,,,,,forest,WG_75
WG_75,C1,conifer,Abies < 0.35 spg*,Pinaceae,ABBA,,"Fir, balsam",Abies,balsamea,12,0.33,3,51,3 – 51,,,,,,,,,forest,WG_75
WG_75,C2,conifer,Abies >= 0.35 spg,Pinaceae,ABCO,,"Fir, white",Abies,concolor,15,0.37,7,8,7–158,,,,,,,,,forest,WG_75
WG_75,C1,conifer,Abies < 0.35 spg*,Pinaceae,ABFR,,"Fir, Fraser",Abies,fraseri,16,0.33,7,25,7 – 25,,,,,,,,,forest,WG_75
WG_75,C2,conifer,Abies >= 0.35 spg,Pinaceae,ABGR,,"Fir, grand",Abies,grandis,,0.35,,,,,,Added by kj - based on worldagroforstr.org,,,,,,forest,WG_75
WG_75,C1,conifer,Abies < 0.35 spg*,Pinaceae,ABLA,,"Fir, subalpine",Abies,lasiocarpa,19,0.31,3,69,3 – 69,,,,,,,,,forest,WG_75
WG_75,C1,conifer,Abies < 0.35 spg*,Pinaceae,ABLAL,,"Fir, subalpine",Abies,lasiocarpa var.lasiocarpa,19,0.31,3,69,3 – 69,,,,,,,,,forest,WG_75
WG_75,C2,conifer,Abies >= 0.35 spg,Pinaceae,ABLO,,"Fir, white",Abies,lowiana,,0.37,,,,syn ABCOL Abies concolor var lowiana,,added by kj - A. concolor var lowania syn; Sr- SPG of higher taxonomic level used,,,,,,forest,http://usnvc.org/explore-classification/
WG_75,C2,conifer,Abies >= 0.35 spg,Pinaceae,ABMA,,"Fir, California red",Abies,magnifica,,0.36,,,,,,added by kj,,,,,,forest,WG_75
SMS,,,,Pinaceae,ABPR,ABPR,,Abies,procera,,0.37,,,,,,,,Zanne et al 2009,yes,,,forest,http://usnvc.org/explore-classification/
WG_75,C2,conifer,Abies >= 0.35 spg,Pinaceae,ABIES,,"Fir, Pacific silver - noble - other",Abies,sp.,10,0.39,9,11,9 – 111,,,,,,,,,forest,WG_75
SMS,H9,,,Fabaceae,ABPR3,ABPR3,,Abrus,precatorius,,,,,,,,,,,no,,,woodland,
