domainID,siteID,plotID,subplotID,clipCellNumber,clipID,sampleID,date,ovenInDate,ovenOutDate,weighDate,herbGroup,qaDryMass,dryMass,measuredBy,recordedBy,enteredBy,remarks
NA,NA,NA,NA,13,NIWO_061_0013,NEON.hbp.NIWO0610013.20150804.LFB,2015-08-14T15:14:27.390Z,2015-08-05T17:28:00.000Z,2015-08-10T18:37:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,13,NIWO_061_0013,NEON.hbp.NIWO0610013.20150804.FRB,2015-08-14T15:14:27.390Z,2015-08-05T17:28:00.000Z,2015-08-10T18:37:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,0.11,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,13,NIWO_061_0013,NEON.hbp.NIWO0610013.20150804.CSG,2015-08-14T15:14:27.390Z,2015-08-05T17:28:00.000Z,2015-08-10T18:37:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,0.08,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,13,NIWO_061_0013,NEON.hbp.NIWO0610013.20150804.WSG,2015-08-14T15:14:27.390Z,2015-08-05T17:28:00.000Z,2015-08-10T18:37:00.000Z,2015-08-10T00:00:00.000Z,Warm Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,180,NIWO_045_0180,NEON.hbp.NIWO0450180.20150804.WST,2015-08-14T15:14:27.390Z,2015-08-05T17:45:00.000Z,2015-08-10T19:26:00.000Z,2015-08-10T00:00:00.000Z,Woody-stemmed Plants,N,9.02,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,13,NIWO_061_0013,NEON.hbp.NIWO0610013.20150804.BRY,2015-08-14T15:14:27.390Z,2015-08-05T17:28:00.000Z,2015-08-10T18:37:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,180,NIWO_045_0180,NEON.hbp.NIWO0450180.20150804.LFB,2015-08-14T15:14:27.390Z,2015-08-05T17:45:00.000Z,2015-08-10T19:26:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,180,NIWO_045_0180,NEON.hbp.NIWO0450180.20150804.FRB,2015-08-14T15:14:27.390Z,2015-08-05T17:45:00.000Z,2015-08-10T19:26:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,0.63,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,16,NIWO_024_0016,NEON.hbp.NIWO0240016.20150804.CSG,2015-08-13T21:08:32.507Z,2015-08-05T17:45:00.000Z,2015-08-10T17:14:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,Y,4,hdoench@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,13,NIWO_061_0013,NEON.hbp.NIWO0610013.20150804.WST,2015-08-14T15:14:27.390Z,2015-08-05T17:28:00.000Z,2015-08-10T18:37:00.000Z,2015-08-10T00:00:00.000Z,Woody-stemmed Plants,N,18.35,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,17,NIWO_060_0017,NEON.hbp.NIWO0600017.20150804.BRY,2015-08-14T15:14:27.390Z,2015-08-05T18:23:00.000Z,2015-08-10T19:31:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,0.66,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,19,NIWO_042_0019,NEON.hbp.NIWO0420019.20150803.WST,2015-08-14T15:14:27.390Z,2015-08-05T15:17:00.000Z,2015-08-10T19:00:00.000Z,2015-08-10T00:00:00.000Z,Woody-stemmed Plants,N,1.86,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,19,NIWO_042_0019,NEON.hbp.NIWO0420019.20150803.FRB,2015-08-14T15:14:27.390Z,2015-08-05T15:17:00.000Z,2015-08-10T19:00:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,2.38,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,19,NIWO_042_0019,NEON.hbp.NIWO0420019.20150803.LFB,2015-08-14T15:14:27.390Z,2015-08-05T15:17:00.000Z,2015-08-10T19:00:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,19,NIWO_042_0019,NEON.hbp.NIWO0420019.20150803.WSG,2015-08-14T15:14:27.390Z,2015-08-05T15:17:00.000Z,2015-08-10T19:00:00.000Z,2015-08-10T00:00:00.000Z,Warm Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,19,NIWO_042_0019,NEON.hbp.NIWO0420019.20150803.CSG,2015-08-14T15:14:27.390Z,2015-08-05T15:17:00.000Z,2015-08-10T19:00:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,3.58,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,19,NIWO_042_0019,NEON.hbp.NIWO0420019.20150803.BRY,2015-08-14T15:14:27.390Z,2015-08-05T15:17:00.000Z,2015-08-10T19:00:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,0.74,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,17,NIWO_057_0017,NEON.hbp.NIWO0570017.20150803.WST,2015-08-14T15:14:27.390Z,2015-08-05T14:27:00.000Z,2015-08-10T19:10:00.000Z,2015-08-10T00:00:00.000Z,Woody-stemmed Plants,N,3.57,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,180,NIWO_045_0180,NEON.hbp.NIWO0450180.20150804.WSG,2015-08-14T15:14:27.390Z,2015-08-05T17:45:00.000Z,2015-08-10T19:26:00.000Z,2015-08-10T00:00:00.000Z,Warm Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,180,NIWO_045_0180,NEON.hbp.NIWO0450180.20150804.CSG,2015-08-14T15:14:27.390Z,2015-08-05T17:45:00.000Z,2015-08-10T19:26:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,0.26,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,180,NIWO_045_0180,NEON.hbp.NIWO0450180.20150804.BRY,2015-08-14T15:14:27.390Z,2015-08-05T17:45:00.000Z,2015-08-10T19:26:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,17,NIWO_060_0017,NEON.hbp.NIWO0600017.20150804.WST,2015-08-14T15:14:27.390Z,2015-08-05T18:23:00.000Z,2015-08-10T19:31:00.000Z,2015-08-10T00:00:00.000Z,Woody-stemmed Plants,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
