table	DPNumber	dpID	PDAbuttonIfDifferentFromFieldName	fieldName	description	dataType	units	entryValidationRules	"noDataOutcomePDA (warn, pass, fail)"	"noDataOutcomeUI (warn, pass, fail)"	defaultValuePDA	defaultValueUI	exampleEntry	"case (upper, lower, sentence, title, asEntered)"	lovName	timeDescription	spatialDescription
hbp_massdata_in	NEON.DOM.SITE.DP0.10005.001.00001.002.001.001	NEON.DOM.SITE.DP0.10005		uid	Unique ID within NEON database; an identifier for the record.	string	NA	NA	NA	NA	NA	NA				native resolution	variable; native resolution
hbp_massdata_in		NEON.DOM.SITE.DP0.10005		domainID	Unique identifier of the NEON domain	string	NA	see ATBD appendix	NA	fail	NA	previous value (after first record)	D10	upper		native resolution	variable; native resolution
hbp_massdata_in		NEON.DOM.SITE.DP0.10005		siteID	NEON site code	string	NA	see ATBD appendix	NA	fail	NA	previous value (after first record)	CPER	upper		native resolution	variable; native resolution
hbp_massdata_in		NEON.DOM.SITE.DP0.10005		plotID	Plot identifier (NEON site code _XXX)	string	NA	see ATBD appendix	NA	fail	NA	previous value (after first record)	CPER_001	upper		native resolution	variable; native resolution
hbp_massdata_in	NEON.DOM.SITE.DP0.10005.001.00122.002.001.001	NEON.DOM.SITE.DP0.10005		subplotID	Identifier for the NEON subplot	unsigned integer	NA	see ATBD appendix	NA	fail	NA	previous value (after first record)	31		hbp.subplotID	native resolution	variable; native resolution
hbp_massdata_in	NEON.DOM.SITE.DP0.10005.001.00165.002.001.001	NEON.DOM.SITE.DP0.10005		clipCellNumber	A numeric identifier for the clip-harvest cell in which herbaceous biomass was sampled	unsigned integer	NA	see ATBD appendix	NA	fail	NA	previous value (after first record)	147			native resolution	variable; native resolution
hbp_massdata_in	NEON.DOM.SITE.DP0.10005.001.00137.002.001.001	NEON.DOM.SITE.DP0.10005		clipID	Unique identifier for the clip-harvest location within the plot	string	NA	see ATBD appendix	NA	NA	NA	use auto-populated value from ATBD				native resolution	variable; native resolution
hbp_massdata_in	NEON.DOM.SITE.DP0.10005.001.00067.002.001.001	NEON.DOM.SITE.DP0.10005		sampleID	Identifier for sample	string	NA	see ATBD appendix	NA	NA	NA	use auto-populated value from ATBD	NEON.hbp.CPER0010147.20140625.CSG			native resolution	variable; native resolution
hbp_massdata_in		NEON.DOM.SITE.DP0.10005	clipDate	date	"Date or date and time of measurement, observation, or collection event"	date	NA	see ATBD appendix	NA	fail	NA	"most recent value of hbp_perbout_in: 'date', where 'clipID' matches hbp_perbout_in: 'clipID'"				native resolution	variable; native resolution
hbp_massdata_in	NEON.DOM.SITE.DP0.10005.001.00141.002.001.001	NEON.DOM.SITE.DP0.10005		ovenInDate	Date and time biomass from clipID was placed in the drying oven	dateTime	NA	 >= date	NA	warn	NA	previous value (after first record)				native resolution	variable; native resolution
hbp_massdata_in	NEON.DOM.SITE.DP0.10005.001.00142.002.001.001	NEON.DOM.SITE.DP0.10005		ovenOutDate	Date and time biomass from clipID was removed from the drying oven	dateTime	NA	 > ovenInDate	NA	warn	NA	previous value (after first record)				native resolution	variable; native resolution
hbp_massdata_in	NEON.DOM.SITE.DP0.10005.001.00143.002.001.001	NEON.DOM.SITE.DP0.10005		weighDate	Date that sample or subsample was weighed	date	NA	 >= ovenOutDate	NA	warn	NA	previous value (after first record)				native resolution	variable; native resolution
hbp_massdata_in	NEON.DOM.SITE.DP0.10005.001.00139.002.001.001	NEON.DOM.SITE.DP0.10005		herbGroup	Categories indicating herbaceous plant functional group	string	NA	"'Bryophyte', 'Cool Season Grasses', 'Warm Season Grasses', 'Leguminous Forbs', 'Non-leguminous Forbs', 'Woody-stemmed Plants', 'ALL'"	NA	fail	NA	no data	Leguminous Forbs	title	hbp.herbGroup	native resolution	variable; native resolution
hbp_massdata_in	NEON.DOM.SITE.DP0.10005.001.00144.002.001.001	NEON.DOM.SITE.DP0.10005		qaDryMass	Indicates whether 'dryMass' value is associated with 'qa' measurement type	string	NA	'Y' | 'N'	NA	fail	NA	previous value (after first record)	standard	lower	hbp.qaDryMass	native resolution	variable; native resolution
hbp_massdata_in	NEON.DOM.SITE.DP0.10005.001.00145.002.001.001	NEON.DOM.SITE.DP0.10005		dryMass	Oven-dried mass of sample or subsample	real	gram	>= 0.00	NA	fail	NA	no data	3.92			native resolution	variable; native resolution
hbp_massdata_in	NEON.DOM.SITE.DP0.10005.001.00037.002.001.001	NEON.DOM.SITE.DP0.10005		measuredBy	An identifier for the technician who measured or collected the data.	string	NA	see ATBD appendix	NA	warn	NA	previous value (after first record)	cmeier@neoninc.org	lower		native resolution	variable; native resolution
hbp_massdata_in	NEON.DOM.SITE.DP0.10005.001.00038.002.001.001	NEON.DOM.SITE.DP0.10005		recordedBy	An identifier for the technician who recorded the data.	string	NA	see ATBD appendix	NA	warn	NA	previous value (after first record)	eazuaje@neoninc.org	lower		native resolution	variable; native resolution
hbp_massdata_in	NEON.DOM.SITE.DP0.10005.001.00065.002.001.001	NEON.DOM.SITE.DP0.10005		enteredBy	An identifier for the technician who entered the data.	string	NA	see ATBD appendix	NA	warn	NA	previous value (after first record)	kjones@neoninc.org	lower		native resolution	variable; native resolution
hbp_massdata_in	NEON.DOM.SITE.DP0.10005.001.00008.002.001.001	NEON.DOM.SITE.DP0.10005		remarks	Technician notes; free text comments accompanying the record.	string	NA	NA	NA	pass	NA	no data	Bag spilled prior to weighing	sentence		native resolution	variable; native resolution
