"","domainid","siteid","plotid_parent","tallydate","yearboutbegan","eventid","volumefactor","samplingprotocolversion","lidsazimuth","targettaxapresent","logdistance","logmaxdiameter","minorlogdiameter","logid","loglength","taxonid","scientificname","decayclass","mortonOrder","siteID","nlcdClass","plotType","subtype","applicableModules","plotSize","subtypeSpecification","diameterClass","decayClassNum"
"40","D08","DELA","DELA_011","2016-07-07T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",270,"N",NA,NA,NA,NA,NA,NA,NA,NA,164,"DELA","woodyWetlands","distributed","basePlot","all|bet|brd|cdw|cfc|dhp|div|hbp|vst",1600,"",NA,NA
"41","D08","DELA","DELA_011","2016-07-07T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",330,"N",NA,NA,NA,NA,NA,NA,NA,NA,164,"DELA","woodyWetlands","distributed","basePlot","all|bet|brd|cdw|cfc|dhp|div|hbp|vst",1600,"",NA,NA
"42","D08","DELA","DELA_012","2016-07-07T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",280,"N",NA,NA,NA,NA,NA,NA,NA,NA,168,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,"",NA,NA
"43","D08","DELA","DELA_012","2016-07-07T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",40,"N",NA,NA,NA,NA,NA,NA,NA,NA,168,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,"",NA,NA
"44","D08","DELA","DELA_012","2016-07-07T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",160,"Y",26.4,35.2,33.2,"320",12.4,"LIST2","Liquidambar styraciflua L.","1 - Fresh fallen",168,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,"",">=10cm","1"
"45","D08","DELA","DELA_013","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",230,"N",NA,NA,NA,NA,NA,NA,NA,NA,215,"DELA","woodyWetlands","distributed","basePlot","all|bet|brd|cdw|cfc|dhp|div|hbp|vst",1600,"",NA,NA
"46","D08","DELA","DELA_013","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",110,"Y",199.9,48,46.3,"142",11,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",215,"DELA","woodyWetlands","distributed","basePlot","all|bet|brd|cdw|cfc|dhp|div|hbp|vst",1600,"",">=10cm","3"
"47","D08","DELA","DELA_013","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",350,"Y",10.6,28.5,23.2,"144",4.4,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",215,"DELA","woodyWetlands","distributed","basePlot","all|bet|brd|cdw|cfc|dhp|div|hbp|vst",1600,"",">=10cm","3"
"48","D08","DELA","DELA_013","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",350,"Y",32,24.8,12.7,"143",1.2,"2PLANT-H","Unknown Hardwood","5 - No structural integrity",215,"DELA","woodyWetlands","distributed","basePlot","all|bet|brd|cdw|cfc|dhp|div|hbp|vst",1600,"",">=10cm","5"
"49","D08","DELA","DELA_014","2016-07-06T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",0,"N",NA,NA,NA,NA,NA,NA,NA,NA,232,"DELA","evergreenForest","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,"",NA,NA
"50","D08","DELA","DELA_014","2016-07-06T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",240,"Y",1,20.2,19.5,"217",2.3,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",232,"DELA","evergreenForest","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,"",">=10cm","3"
"51","D08","DELA","DELA_014","2016-07-06T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",240,"Y",24.6,22,21.6,"218",1.4,"PITA","Pinus taeda L.","4 - Rotten throughout",232,"DELA","evergreenForest","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,"",">=10cm","4"
"52","D08","DELA","DELA_014","2016-07-06T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",120,"Y",24.9,30,12.9,"219",1.8,"PITA","Pinus taeda L.","5 - No structural integrity",232,"DELA","evergreenForest","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,"",">=10cm","5"
"53","D08","DELA","DELA_014","2016-07-06T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",120,"Y",49.7,29.8,28.3,"220",9,"PITA","Pinus taeda L.","4 - Rotten throughout",232,"DELA","evergreenForest","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",1600,"",">=10cm","4"
"54","D08","DELA","DELA_015","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",300,"Y",24,19.1,17.6,"224",5.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",236,"DELA","woodyWetlands","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,"",">=10cm","3"
"55","D08","DELA","DELA_015","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",60,"Y",92.4,38.8,34.7,"225",1.7,"2PLANT-H","Unknown Hardwood","2 - Sound round",236,"DELA","woodyWetlands","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,"",">=10cm","2"
"56","D08","DELA","DELA_015","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",180,"N",NA,NA,NA,NA,NA,NA,NA,NA,236,"DELA","woodyWetlands","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,"",NA,NA
"57","D08","DELA","DELA_016","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",160,"N",NA,NA,NA,NA,NA,NA,NA,NA,267,"DELA","evergreenForest","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,"",NA,NA
"58","D08","DELA","DELA_016","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",40,"N",NA,NA,NA,NA,NA,NA,NA,NA,267,"DELA","evergreenForest","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,"",NA,NA
"59","D08","DELA","DELA_016","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",280,"Y",23.6,23.4,21.9,"290",4.8,"PIPA2","Pinus palustris Mill.","4 - Rotten throughout",267,"DELA","evergreenForest","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,"",">=10cm","4"
"60","D08","DELA","DELA_017","2016-10-17T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",50,"N",NA,NA,NA,NA,NA,NA,NA,NA,268,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,"",NA,NA
"61","D08","DELA","DELA_017","2016-10-17T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",290,"Y",15.5,16.5,14,"151",1.3,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",268,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,"",">=10cm","3"
"62","D08","DELA","DELA_017","2016-10-17T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",170,"Y",73.1,50,49.4,"152",9.5,"ACNE2","Acer negundo L.","1 - Fresh fallen",268,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,"",">=10cm","1"
"63","D08","DELA","DELA_017","2016-10-17T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",290,"Y",17.5,25,37,"150",3.6,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",268,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,"",">=10cm","4"
"64","D08","DELA","DELA_018","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",50,"N",NA,NA,NA,NA,NA,NA,NA,NA,326,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,"",NA,NA
"65","D08","DELA","DELA_018","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",170,"Y",7.6,18.4,15.4,"326",2.2,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",326,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,"",">=10cm","4"
"66","D08","DELA","DELA_018","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",290,"Y",23,20.7,18.3,"327",17.1,"CAGL8","Carya glabra (Mill.) Sweet","1 - Fresh fallen",326,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,"",">=10cm","1"
"67","D08","DELA","DELA_018","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",290,"Y",199.7,58.2,41.8,"328",19,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",326,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,"",">=10cm","4"
"68","D08","DELA","DELA_020","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",290,"N",NA,NA,NA,NA,NA,NA,NA,NA,358,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,"",NA,NA
"69","D08","DELA","DELA_020","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",50,"Y",38.1,38.6,36.5,"333",10.9,"CELA","Celtis laevigata Willd.","1 - Fresh fallen",358,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,"",">=10cm","1"
"70","D08","DELA","DELA_020","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",170,"Y",88.1,38.6,37.9,"334",15.3,"PLOC","Platanus occidentalis L.","2 - Sound round",358,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,"",">=10cm","2"
"71","D08","DELA","DELA_020","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",50,"Y",6.4,25,18,"329",3.7,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",358,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,"",">=10cm","3"
"72","D08","DELA","DELA_020","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",50,"Y",8.4,18.2,12.5,"330",4.4,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",358,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,"",">=10cm","3"
"73","D08","DELA","DELA_020","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",50,"Y",13.5,14.9,12.9,"332",4.8,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",358,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,"",">=10cm","3"
"74","D08","DELA","DELA_020","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",50,"Y",27.1,19.4,9,"331",2.8,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",358,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,"",">=10cm","4"
"75","D08","DELA","DELA_037","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",240,"Y",21.6,70.4,7688,"00205",28.6,"QUNI","Quercus nigra L.","2 - Sound round",102,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,"",">=10cm","2"
"76","D08","DELA","DELA_037","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",120,"Y",10.1,12.2,NA,"00889",1.5,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",102,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,"",">=10cm","4"
"77","D08","DELA","DELA_037","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",120,"Y",NA,39.71,NA,"00710",13.9,"QUERC","Quercus sp.","3 - Heartwood sound",102,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,"",">=10cm","3"
"78","D08","DELA","DELA_037","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",120,"Y",96.6,62.1,NA,"00888",21.6,"CATO6","Carya tomentosa (Lam.) Nutt.","1 - Fresh fallen",102,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,"",">=10cm","1"
"79","D08","DELA","DELA_037","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",120,"Y",107.6,56.2,23.7,"00333",11.8,"CELA","Celtis laevigata Willd.","2 - Sound round",102,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,"",">=10cm","2"
"80","D08","DELA","DELA_037","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",0,"Y",130.5,45.2,NA,"00895",14.4,"QUERC","Quercus sp.","3 - Heartwood sound",102,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,"",">=10cm","3"
