"siteID","date","plotID","subplotID","nestedSubplotID","tagID","stemDiameter","measurementHeight","canopyPosition","maxCanopyDiameter","ninetyCanopyDiameter","VD1height","VD2height","stemStatus","shrubShape","maxBaseCanopyDiameter","ninetyBaseCanopyDiameter","measuredBy","recordedBy","remarks","basalDiameter","basalDiameterHeight","growthForm"
"GRSM",20150527,"GRSM_047",21,4,"1243",1.6,130,4,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1245",13.2,130,3,0,0,0,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1244",NA,NA,4,2.3,1.7,1.6,NA,1,"cyl",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1246",NA,NA,4,2.4,1.9,3.2,NA,1,"hsp",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1247",NA,NA,4,1.8,1.2,1.7,NA,1,"hsp",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1248",NA,NA,4,2.6,1.1,1.9,NA,1,"hsp",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1249",2.3,130,4,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1250",41,130,2,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1251",12,130,3,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1252",NA,NA,4,1.8,1,1.4,NA,1,"hsp",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1253",NA,NA,4,1.5,0.8,1.5,NA,1,"cyl",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1254",NA,NA,4,2,0.9,2,NA,1,"cyl",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1255",4.6,130,4,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1256",2.2,10,4,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1257",1.6,130,4,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1258",NA,NA,4,2.1,2,2.7,NA,1,"cyl",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1259",NA,NA,4,0.9,0.7,1.8,NA,1,"cyl",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1260",NA,NA,4,2.4,2,2.7,NA,1,"cyl",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1261",27,130,4,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1262",NA,NA,4,1.8,1.2,3.1,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1263",2.3,130,4,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1264",33,130,3,NA,NA,NA,NA,2,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1265",NA,NA,4,1.3,1.1,2,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1266",3.6,130,4,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1267",NA,NA,4,1.9,1.2,1.5,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1268",15.5,130,3,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1269",35.2,130,2,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1270",32.6,130,2,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,NA,"1271",13,130,3,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,NA,"1272",21.2,130,2,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,NA,"1273",10.5,130,3,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,3,"1274",15.4,130,3,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,NA,"1275",11.1,130,3,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1276",17.4,130,4,NA,NA,NA,NA,5,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1277",15,130,3,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1278",17.6,130,3,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1279",10.1,130,2,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1280",18.5,130,2,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,4,"1281",17.9,130,3,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,2,"1282",14.2,130,3,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,2,"1283",11.8,130,3,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,2,"1283A",10.1,130,3,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,3,"1284",14.6,130,2,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,NA,"1285",13.7,130,3,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,NA,"1286",11.2,130,3,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,NA,"1287",21.7,130,2,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,NA,"1288",17.6,130,3,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,NA,"1289",45.2,130,1,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,NA,"1290",23,130,3,NA,NA,NA,NA,2,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
"GRSM",20150527,"GRSM_047",21,NA,"1291",10.3,130,2,NA,NA,NA,NA,1,"",NA,NA,"lbarber@neoninc.org","dmitchell@neoninc.org",NA,NA,NA,NA
