"date","plotID","subplotID","nestedSubplotID","tagID","stemDiameter","measurementHeight","canopyPosition","maxCanopyDiameter","ninetyCanopyDiameter","VD1height","VD2height","stemStatus","shrubShape","maxBaseCanopyDiameter","ninetyBaseCanopyDiameter","remarks","siteID","measuredBy","recordedBy","plotType","subtype"
20150812,"STEI_046",23,4,"1016",2.2,10,5,NA,NA,1.6,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1037",12.8,130,4,NA,NA,13.4,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,2,"1047",1,130,5,NA,NA,2.2,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,4,"1062",2.4,10,5,NA,NA,1.6,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1063",17.8,130,3,NA,NA,13.6,NA,1,"",NA,NA,"no transcription errors","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1068",33.7,130,2,NA,NA,18.7,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1069",27.5,130,3,NA,NA,13.1,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1070",20.9,120,3,NA,NA,14.5,NA,7,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1070A",19.4,130,NA,NA,NA,NA,NA,7,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1070B",10.4,130,4,NA,NA,7.7,NA,2,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1071",15.5,130,3,NA,NA,NA,13.2,1,"",NA,NA,"error fixed missing entry","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1071A",15.1,130,NA,NA,NA,NA,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1073",22.5,130,3,NA,NA,15.6,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1074",11.2,130,4,NA,NA,10.5,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1075",16.3,130,3,NA,NA,15.7,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,4,"1076",1.6,10,5,NA,NA,1,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1077",19,130,3,NA,NA,14.1,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1078",44.5,130,2,NA,NA,18.9,NA,1,"",NA,NA,"no transcription errors","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1079",22.6,130,3,NA,NA,13.4,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1080",12.2,130,4,NA,NA,11.4,NA,7,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1081",30.3,130,3,NA,NA,15.5,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1086",21.4,130,3,NA,NA,14.1,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1087",17.3,130,4,NA,NA,12.5,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1088",14.5,130,3,NA,NA,13.8,NA,1,"",NA,NA,"no transcription errors","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,4,"1110",1.4,130,5,NA,NA,2.3,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,4,"1119",3.8,130,5,NA,NA,3.7,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,4,"1134",2.3,130,5,NA,NA,2.8,NA,1,"",NA,NA,"no transcription errors","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,4,"1146",3.1,130,5,NA,NA,3.4,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,2,"1148",1,130,5,NA,NA,1.9,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1149",24.2,130,3,NA,NA,15.5,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,2,"1150",2.8,130,5,NA,NA,2.8,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,2,"1158",1.6,130,5,NA,NA,2.2,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,2,"1159",6.2,130,4,NA,NA,5,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1163",21.8,130,3,NA,NA,14.6,NA,7,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,4,"1164",9.1,130,4,NA,NA,7.1,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,4,"1165",1.6,130,5,NA,NA,3.5,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,2,"1166",1.6,10,5,NA,NA,1.2,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,2,"1186",6.7,130,4,NA,NA,5.2,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,2,"1188",5.3,130,5,NA,NA,4.5,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,2,"1190",2.1,10,5,NA,NA,1.6,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",23,NA,"1192",15.7,130,4,NA,NA,10.6,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",41,NA,"1205",15.6,130,3,NA,NA,16.2,NA,5,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",41,NA,"1216",13.3,130,4,NA,NA,11.2,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",41,NA,"1225",20.2,130,3,NA,NA,12.3,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",41,4,"1233",2.1,10,5,NA,NA,1.2,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",41,NA,"1236",12.8,130,3,NA,NA,14,NA,5,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",41,1,"1241",2.8,10,5,NA,NA,1.6,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",41,4,"1242",6,130,4,2.6,2.1,9,NA,5,"cyl",NA,NA,"no transcription errors","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",41,4,"1242",1.7,130,NA,NA,NA,NA,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",41,4,"1244",1.3,130,5,NA,NA,3,NA,7,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",41,NA,"1251",30,130,3,NA,NA,16.5,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",41,1,"1254",1.5,130,5,NA,NA,3,NA,1,"",NA,NA,"no transcription errors","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",41,4,"1257",1.3,10,5,NA,NA,1.5,NA,2,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",41,4,"1258",1,130,5,NA,NA,2.7,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",41,4,"1261",2.8,130,5,NA,NA,47,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
20150812,"STEI_046",41,1,"1262",1.2,130,5,NA,NA,2,NA,1,"",NA,NA,"","STEI","frosenbower@field-ops.org","bgorzek@field-ops.org","tower","basePlot"
