siteID,plotID,date,subplotID,nestedSubplotID,tagID,stemDiameter,measurementHeight,basalDiameter,basalDiameterHeight,stemStatus,VD1height,VD2height,maxCanopyDiameter,ninetyCanopyDiameter,canopyPosition,shrubShape,maxBaseCanopyDiameter,ninetyBaseCanopyDiameter,measuredBy,recordedBy,remarks,nestedSubplotArea1,nestedSubplotArea2
MLBS,MLBS_061,20150928,23,02,100,23,130,,,1,0,0,0,0,03,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,02,100A,24.1,130,,,1,0,0,0,0,03,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,02,100B,21.9,130,,,1,0,0,0,0,03,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,02,100C,13.3,130,,,1,0,0,0,0,03,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,02,101,1.9,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,02,102,9.2,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,02,103,17,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,02,104,15.2,130,,,1,0,0,0,0,03,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,02,105,4,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,02,106,1.8,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,02,107,17,130,,,1,0,0,0,0,03,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,02,108,5.7,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,02,109,3.4,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,02,110,1.9,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,02,111,3.1,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,02,112,1.5,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,02,113,11.4,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,02,114,31.8,130,,,1,0,0,0,0,03,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,02,114A,15.8,130,,,1,0,0,0,0,03,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,04,115,8.3,130,,,2,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,04,116,1.6,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,04,117,18.6,130,,,1,0,0,0,0,03,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,04,118,23,130,,,1,0,0,0,0,03,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,04,118A,22.3,130,,,1,0,0,0,0,03,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,04,119,3.6,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,04,120,4.2,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,04,121,0,0,,,1,3.94,0,5.4,4.24,04,ohs,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,04,122,3.1,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,04,123,1.6,10,,,1,0,0,0,0,05,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,04,124,0,0,,,1,4.83,0,3.94,3.05,04,hsp,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,04,125,0,0,,,1,4.32,0,7.62,4.83,04,hsp,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,04,126,6.5,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,04,127,16.4,130,,,2,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,04,128,18.5,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,04,129,9.6,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,04,130,8.5,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,04,131,7.6,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,04,132,8.6,130,,,1,0,0,0,0,03,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,03,133,33.6,130,,,1,0,0,0,0,03,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,03,134,17.5,130,,,2,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,03,135,43.6,130,,,1,0,0,0,0,03,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,03,136,19.4,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,03,137,16.3,130,,,2,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,03,138,17.3,130,,,1,0,0,0,0,03,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,03,138A,10.2,130,,,1,0,0,0,0,03,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,03,139,33.3,130,,,1,0,0,0,0,03,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,03,140,14,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,01,141,16,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,01,141A,10.5,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,01,142,45.5,130,,,1,0,0,0,0,02,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,01,143,15.3,130,,,1,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,01,144,33.4,130,,,1,0,0,0,0,03,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
MLBS,MLBS_061,20150928,23,01,145,12,130,,,2,0,0,0,0,04,,,,cjuneau@field-ops.org,mcumberland@field-ops.org,,,
