"uid","domainID","siteID","plotID","subplotID","divDataType","targetTaxaPresent","otherVariablesPresent","taxonID","acceptedTaxonID","identificationQualifier","taxonIDRemarks","morphospeciesID","otherVariables","percentCover","heightPlantOver300cm","heightPlantSpecies","boutNumber","date","samplingProtocol","identificationReferences","measuredBy","recordedBy","enteredBy","remarks","individualID"
"73B634BF5A5F4CF59B406DFB106A8E99",NA,"UNDE","UNDE_029","40.1.1","plantSpecies","Y",NA,"TRBO2","TRBO2",NA,NA,NA,NA,"2","N","8","1","""2015-06-11""",NA,NA,"pagosti@field-ops.org","jpyatt@neoninc.org","tkuhlman@field-ops.org",NA,NA
"3AA282C5F77A4C288278692CA5C17BB1",NA,"UNDE","UNDE_029","40.1.1","plantSpecies","Y",NA,"COAL2","COAL2",NA,NA,NA,NA,"4","N","22","1","""2015-06-11""",NA,NA,"pagosti@field-ops.org","jpyatt@neoninc.org","tkuhlman@field-ops.org",NA,NA
"6C761C088CDB4E57AC1A3E93F22D68FB",NA,"UNDE","UNDE_029","40.1.1","plantSpecies","Y",NA,"COCO6","COCO6",NA,NA,NA,NA,"70","N","180","1","""2015-06-11""",NA,NA,"pagosti@field-ops.org","jpyatt@neoninc.org","tkuhlman@field-ops.org",NA,NA
"06A977AB857F48F7BE5D38320EFD1302",NA,"UNDE","UNDE_029","40.1.1","plantSpecies","Y",NA,"ARTR","ARTR",NA,NA,NA,NA,"0.5","N","8","1","""2015-06-11""",NA,NA,"pagosti@field-ops.org","jpyatt@neoninc.org","tkuhlman@field-ops.org",NA,NA
"4ED929B36128451DADC1C60B1CD03AD3",NA,"UNDE","UNDE_029","40.1.1","plantSpecies","Y",NA,"CAREX","CAREX",NA,NA,NA,NA,"0.5","N","14","1","""2015-06-11""",NA,NA,"pagosti@field-ops.org","jpyatt@neoninc.org","tkuhlman@field-ops.org",NA,NA
"CCEEA312D77F407B98007E403C803EC6",NA,"UNDE","UNDE_029","40.1.1","plantSpecies","Y",NA,"PYEL","PYEL",NA,NA,NA,NA,"0.5","N","5","1","""2015-06-11""",NA,NA,"pagosti@field-ops.org","jpyatt@neoninc.org","tkuhlman@field-ops.org",NA,NA
"63B3B68ACD694E508DE94B8E7DF6C28A",NA,"UNDE","UNDE_029","40.1.1","plantSpecies","Y",NA,"LONIC","LONIC",NA,NA,NA,NA,"3","N","60","1","""2015-06-11""",NA,NA,"pagosti@field-ops.org","jpyatt@neoninc.org","tkuhlman@field-ops.org",NA,NA
"A73A0BBD3AAA4C899EDEF39940EEE08D",NA,"UNDE","UNDE_029","40.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"wood","20",NA,NA,"1","""2015-06-11""",NA,NA,"pagosti@field-ops.org","jpyatt@neoninc.org","tkuhlman@field-ops.org",NA,NA
"4ECC1C445F1743788A1154C86EA2711B",NA,"UNDE","UNDE_029","40.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"litter","73",NA,NA,"1","""2015-06-11""",NA,NA,"pagosti@field-ops.org","jpyatt@neoninc.org","tkuhlman@field-ops.org",NA,NA
"039D8A592FCA41FDAE1A0D8BFE9B22FC",NA,"UNDE","UNDE_029","40.1.1","plantSpecies","Y",NA,"FRAM2","FRAM2",NA,NA,NA,NA,"2","N","47","1","""2015-06-11""",NA,NA,"pagosti@field-ops.org","jpyatt@neoninc.org","tkuhlman@field-ops.org",NA,NA
"9BE0A539E0FD4643BCB83E4A4674166A",NA,"UNDE","UNDE_029","40.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"soil","0.5",NA,NA,"1","""2015-06-11""",NA,NA,"pagosti@field-ops.org","jpyatt@neoninc.org","tkuhlman@field-ops.org",NA,NA
"DBD7439986684904959250C10EEF78FA",NA,"UNDE","UNDE_029","40.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"moss","5",NA,NA,"1","""2015-06-11""",NA,NA,"pagosti@field-ops.org","jpyatt@neoninc.org","tkuhlman@field-ops.org",NA,NA
"FA4A15F1535F45EC866AF7B768F1BBCF",NA,"UNDE","UNDE_029","40.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"overstory","20",NA,NA,"1","""2015-06-11""",NA,NA,"pagosti@field-ops.org","jpyatt@neoninc.org","tkuhlman@field-ops.org",NA,NA
"84FD40CA5F9B4CDCA5001FDF010EA9D3",NA,"UNDE","UNDE_029","40.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"standingDead","0.5",NA,NA,"1","""2015-06-11""",NA,NA,"pagosti@field-ops.org","jpyatt@neoninc.org","tkuhlman@field-ops.org",NA,NA
"D2E5CB34C6F84591854692D85A673EF4",NA,"UNDE","UNDE_029","40.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"lichen","0.5",NA,NA,"1","""2015-06-11""",NA,NA,"pagosti@field-ops.org","jpyatt@neoninc.org","tkuhlman@field-ops.org",NA,NA
"BDD754B6C0874AF18211094E120A2487",NA,"UNDE","UNDE_018","31.4.1","plantSpecies","Y",NA,"GAHI2","GAHI2",NA,NA,NA,NA,"0.5","N","4","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"29FFDFB8EBDF4F0788B6C8A13F48BC9E",NA,"UNDE","UNDE_018","31.4.1","plantSpecies","Y",NA,"PIMA","PIMA",NA,NA,NA,NA,"1","N","15","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
