"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"ORNL_001",200,320,80,""
"ORNL_002",330,90,210,""
"ORNL_003",50,170,290,""
"ORNL_004",140,260,20,""
"ORNL_006",190,310,70,""
"ORNL_007",80,200,320,""
"ORNL_008",320,80,200,""
"ORNL_009",10,130,250,""
"ORNL_010",80,200,320,""
"ORNL_012",10,130,250,""
"ORNL_014",300,60,180,""
"ORNL_021",310,70,190,""
"ORNL_027",140,260,20,""
"ORNL_029",210,330,90,""
"ORNL_031",320,80,200,""
"ORNL_032",210,330,90,""
"ORNL_033",320,80,200,""
"ORNL_035",100,220,340,""
"ORNL_044",210,330,90,""
"ORNL_066",110,230,350,""
