"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"TEAK_043",100,220,340,""
"TEAK_044",40,160,280,""
"TEAK_045",200,320,80,""
"TEAK_046",300,60,180,""
"TEAK_047",50,170,290,""
"TEAK_048",290,50,170,""
"TEAK_049",290,50,170,""
"TEAK_050",50,170,290,""
"TEAK_051",290,50,170,""
"TEAK_052",290,50,170,""
"TEAK_053",270,30,150,""
"TEAK_054",110,230,350,""
"TEAK_055",230,350,110,""
"TEAK_056",260,20,140,""
"TEAK_057",160,280,40,""
"TEAK_058",40,160,280,""
"TEAK_059",340,100,220,""
"TEAK_060",160,280,40,""
"TEAK_061",40,160,280,""
"TEAK_062",340,100,220,""
