"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"TREE_001",130,250,10,""
"TREE_002",270,30,150,""
"TREE_003",50,170,290,""
"TREE_004",180,300,60,""
"TREE_005",50,170,290,""
"TREE_006",300,60,180,""
"TREE_007",20,140,260,""
"TREE_008",100,220,340,""
"TREE_009",110,230,350,""
"TREE_010",20,140,260,""
"TREE_011",100,220,340,""
"TREE_012",110,230,350,""
"TREE_014",100,220,340,""
"TREE_015",60,180,300,""
"TREE_016",240,0,120,""
"TREE_017",50,170,290,""
"TREE_018",40,160,280,""
"TREE_019",150,270,30,""
"TREE_023",160,280,40,""
"TREE_060",220,340,100,""
