"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"JERC_001",120,240,0,""
"JERC_002",330,90,210,""
"JERC_003",300,60,180,""
"JERC_004",270,30,150,""
"JERC_005",180,300,60,""
"JERC_006",350,110,230,""
"JERC_007",80,200,320,""
"JERC_008",110,230,350,""
"JERC_009",160,280,40,""
"JERC_010",80,200,320,""
"JERC_011",110,230,350,""
"JERC_012",160,280,40,""
"JERC_013",160,280,40,""
"JERC_014",160,280,40,""
"JERC_015",50,170,290,""
"JERC_016",200,320,80,""
"JERC_019",140,260,20,""
"JERC_028",60,180,300,""
"JERC_029",270,30,150,""
"JERC_030",160,280,40,""
