"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"JORN_001",200,320,80,""
"JORN_002",220,340,100,""
"JORN_003",100,220,340,""
"JORN_004",30,150,270,""
"JORN_005",290,50,170,""
"JORN_006",90,210,330,""
"JORN_007",110,230,350,""
"JORN_008",90,210,330,""
"JORN_009",190,310,70,""
"JORN_010",110,230,350,""
"JORN_011",90,210,330,""
"JORN_012",190,310,70,""
"JORN_013",250,10,130,""
"JORN_014",340,100,220,""
"JORN_015",310,70,190,""
"JORN_016",320,80,200,""
"JORN_017",330,90,210,""
"JORN_018",310,70,190,""
"JORN_019",220,340,100,""
"JORN_020",330,90,210,""
