"plotID","lidsAngle1","lidsAngle2","lidsAngle3","siteID","lidsConcat"
"ABBY_001",40,160,280,"ABBY","40|160|280"
"ABBY_002",270,30,150,"ABBY","270|30|150"
"ABBY_003",280,40,160,"ABBY","280|40|160"
"ABBY_004",340,100,220,"ABBY","340|100|220"
"ABBY_005",290,50,170,"ABBY","290|50|170"
"ABBY_006",250,10,130,"ABBY","250|10|130"
"ABBY_007",70,190,310,"ABBY","70|190|310"
"ABBY_008",20,140,260,"ABBY","20|140|260"
"ABBY_009",190,310,70,"ABBY","190|310|70"
"ABBY_010",70,190,310,"ABBY","70|190|310"
"ABBY_011",20,140,260,"ABBY","20|140|260"
"ABBY_012",190,310,70,"ABBY","190|310|70"
"ABBY_013",260,20,140,"ABBY","260|20|140"
"ABBY_014",350,110,230,"ABBY","350|110|230"
"ABBY_016",110,230,350,"ABBY","110|230|350"
"ABBY_017",350,110,230,"ABBY","350|110|230"
"ABBY_018",20,140,260,"ABBY","20|140|260"
"ABBY_019",180,300,60,"ABBY","180|300|60"
"ABBY_023",200,320,80,"ABBY","200|320|80"
"ABBY_025",340,100,220,"ABBY","340|100|220"
"ABBY_061",50,170,290,"ABBY","50|170|290"
"ABBY_062",310,70,190,"ABBY","310|70|190"
"ABBY_063",70,190,310,"ABBY","70|190|310"
"ABBY_064",130,250,10,"ABBY","130|250|10"
"ABBY_065",330,90,210,"ABBY","330|90|210"
"ABBY_067",30,150,270,"ABBY","30|150|270"
"ABBY_068",250,10,130,"ABBY","250|10|130"
"ABBY_069",60,180,300,"ABBY","60|180|300"
"ABBY_070",30,150,270,"ABBY","30|150|270"
"ABBY_073",190,310,70,"ABBY","190|310|70"
"ABBY_074",50,170,290,"ABBY","50|170|290"
"ABBY_075",190,310,70,"ABBY","190|310|70"
"ABBY_076",20,140,260,"ABBY","20|140|260"
"BART_001",260,20,140,"BART","260|20|140"
"BART_002",70,190,310,"BART","70|190|310"
"BART_003",200,320,80,"BART","200|320|80"
"BART_004",0,120,240,"BART","0|120|240"
"BART_005",80,200,320,"BART","80|200|320"
"BART_006",260,20,140,"BART","260|20|140"
"BART_007",50,170,290,"BART","50|170|290"
"BART_010",50,170,290,"BART","50|170|290"
"BART_011",290,50,170,"BART","290|50|170"
"BART_012",340,100,220,"BART","340|100|220"
"BART_013",120,240,0,"BART","120|240|0"
"BART_015",320,80,200,"BART","320|80|200"
"BART_016",340,100,220,"BART","340|100|220"
"BART_018",40,160,280,"BART","40|160|280"
"BART_023",10,130,250,"BART","10|130|250"
"BART_024",280,40,160,"BART","280|40|160"
"BART_025",20,140,260,"BART","20|140|260"
"BART_026",270,30,150,"BART","270|30|150"
"BART_027",170,290,50,"BART","170|290|50"
"BART_028",170,290,50,"BART","170|290|50"
"BART_032",240,0,120,"BART","240|0|120"
"BART_033",290,50,170,"BART","290|50|170"
"BART_034",190,310,70,"BART","190|310|70"
"BART_036",20,140,260,"BART","20|140|260"
"BART_037",290,50,170,"BART","290|50|170"
"BART_039",310,70,190,"BART","310|70|190"
"BART_040",290,50,170,"BART","290|50|170"
"BART_041",150,270,30,"BART","150|270|30"
"BART_042",310,70,190,"BART","310|70|190"
"BART_044",190,310,70,"BART","190|310|70"
"BART_046",330,90,210,"BART","330|90|210"
"BART_047",50,170,290,"BART","50|170|290"
"BART_050",50,170,290,"BART","50|170|290"
"BART_051",330,90,210,"BART","330|90|210"
"BART_070",210,330,90,"BART","210|330|90"
"BART_071",120,240,0,"BART","120|240|0"
"BART_072",260,20,140,"BART","260|20|140"
"BART_073",120,240,0,"BART","120|240|0"
"BART_074",240,0,120,"BART","240|0|120"
"BART_075",150,270,30,"BART","150|270|30"
"BONA_001",100,220,340,"BONA","100|220|340"
"BONA_002",20,140,260,"BONA","20|140|260"
"BONA_003",310,70,190,"BONA","310|70|190"
"BONA_004",180,300,60,"BONA","180|300|60"
"BONA_005",260,20,140,"BONA","260|20|140"
"BONA_006",220,340,100,"BONA","220|340|100"
"BONA_007",40,160,280,"BONA","40|160|280"
"BONA_008",260,20,140,"BONA","260|20|140"
"BONA_009",220,340,100,"BONA","220|340|100"
"BONA_010",40,160,280,"BONA","40|160|280"
"BONA_011",260,20,140,"BONA","260|20|140"
"BONA_012",220,340,100,"BONA","220|340|100"
"BONA_013",0,120,240,"BONA","0|120|240"
"BONA_014",340,100,220,"BONA","340|100|220"
"BONA_016",290,50,170,"BONA","290|50|170"
"BONA_018",240,0,120,"BONA","240|0|120"
"BONA_021",240,0,120,"BONA","240|0|120"
"BONA_022",0,120,240,"BONA","0|120|240"
"BONA_023",350,110,230,"BONA","350|110|230"
"BONA_026",70,190,310,"BONA","70|190|310"
"BONA_070",160,280,40,"BONA","160|280|40"
"BONA_071",190,310,70,"BONA","190|310|70"
"BONA_072",260,20,140,"BONA","260|20|140"
"BONA_073",170,290,50,"BONA","170|290|50"
"BONA_074",40,160,280,"BONA","40|160|280"
"BONA_075",330,90,210,"BONA","330|90|210"
"BONA_076",140,260,20,"BONA","140|260|20"
"BONA_077",90,210,330,"BONA","90|210|330"
"BONA_078",250,10,130,"BONA","250|10|130"
"BONA_079",330,90,210,"BONA","330|90|210"
"BONA_080",90,210,330,"BONA","90|210|330"
"BONA_081",250,10,130,"BONA","250|10|130"
"BONA_082",330,90,210,"BONA","330|90|210"
"BONA_083",40,160,280,"BONA","40|160|280"
"BONA_084",260,20,140,"BONA","260|20|140"
"BONA_086",160,280,40,"BONA","160|280|40"
"BONA_087",80,200,320,"BONA","80|200|320"
"BONA_088",300,60,180,"BONA","300|60|180"
"BONA_089",260,20,140,"BONA","260|20|140"
"BONA_093",220,340,100,"BONA","220|340|100"
"CLBJ_031",110,230,350,"CLBJ","110|230|350"
"CLBJ_032",100,220,340,"CLBJ","100|220|340"
"CLBJ_033",100,220,340,"CLBJ","100|220|340"
"CLBJ_034",130,250,10,"CLBJ","130|250|10"
"CLBJ_035",70,190,310,"CLBJ","70|190|310"
"CLBJ_036",160,280,40,"CLBJ","160|280|40"
"CLBJ_037",280,40,160,"CLBJ","280|40|160"
"CLBJ_038",250,10,130,"CLBJ","250|10|130"
"CLBJ_039",0,120,240,"CLBJ","0|120|240"
"CLBJ_040",280,40,160,"CLBJ","280|40|160"
"CLBJ_041",250,10,130,"CLBJ","250|10|130"
"CLBJ_042",0,120,240,"CLBJ","0|120|240"
"CLBJ_043",210,330,90,"CLBJ","210|330|90"
"CLBJ_044",50,170,290,"CLBJ","50|170|290"
"CLBJ_045",270,30,150,"CLBJ","270|30|150"
"CLBJ_046",240,0,120,"CLBJ","240|0|120"
"CLBJ_047",120,240,0,"CLBJ","120|240|0"
"CLBJ_049",280,40,160,"CLBJ","280|40|160"
"CLBJ_051",60,180,300,"CLBJ","60|180|300"
"CLBJ_052",280,40,160,"CLBJ","280|40|160"
"CLBJ_001",180,300,60,"CLBJ","180|300|60"
"CLBJ_002",330,90,210,"CLBJ","330|90|210"
"CLBJ_003",80,200,320,"CLBJ","80|200|320"
"CLBJ_004",100,220,340,"CLBJ","100|220|340"
"CLBJ_005",160,280,40,"CLBJ","160|280|40"
"CLBJ_006",290,50,170,"CLBJ","290|50|170"
"CLBJ_007",110,230,350,"CLBJ","110|230|350"
"CLBJ_008",40,160,280,"CLBJ","40|160|280"
"CLBJ_009",210,330,90,"CLBJ","210|330|90"
"CLBJ_010",110,230,350,"CLBJ","110|230|350"
"CLBJ_011",40,160,280,"CLBJ","40|160|280"
"CLBJ_012",210,330,90,"CLBJ","210|330|90"
"CLBJ_013",250,10,130,"CLBJ","250|10|130"
"CLBJ_014",300,60,180,"CLBJ","300|60|180"
"CLBJ_015",190,310,70,"CLBJ","190|310|70"
"CLBJ_016",160,280,40,"CLBJ","160|280|40"
"CLBJ_017",130,250,10,"CLBJ","130|250|10"
"CLBJ_018",140,260,20,"CLBJ","140|260|20"
"CLBJ_019",10,130,250,"CLBJ","10|130|250"
"CLBJ_020",130,250,10,"CLBJ","130|250|10"
"CLBJ_021",140,260,20,"CLBJ","140|260|20"
"CLBJ_022",10,130,250,"CLBJ","10|130|250"
"CLBJ_023",310,70,190,"CLBJ","310|70|190"
"CLBJ_024",10,130,250,"CLBJ","10|130|250"
"CLBJ_025",120,240,0,"CLBJ","120|240|0"
"CLBJ_026",20,140,260,"CLBJ","20|140|260"
"CLBJ_027",330,90,210,"CLBJ","330|90|210"
"CLBJ_028",110,230,350,"CLBJ","110|230|350"
"CLBJ_029",100,220,340,"CLBJ","100|220|340"
"CLBJ_030",330,90,210,"CLBJ","330|90|210"
"CPER_001",140,260,20,"CPER","140|260|20"
"CPER_002",120,240,0,"CPER","120|240|0"
"CPER_003",350,110,230,"CPER","350|110|230"
"CPER_004",250,10,130,"CPER","250|10|130"
"CPER_005",40,160,280,"CPER","40|160|280"
"CPER_006",80,200,320,"CPER","80|200|320"
"CPER_007",20,140,260,"CPER","20|140|260"
"CPER_008",140,260,20,"CPER","140|260|20"
"CPER_009",280,40,160,"CPER","280|40|160"
