"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"BART_001",260,20,140,""
"BART_002",70,190,310,""
"BART_003",200,320,80,""
"BART_004",0,120,240,""
"BART_005",80,200,320,""
"BART_006",260,20,140,""
"BART_007",50,170,290,""
"BART_010",50,170,290,""
"BART_011",290,50,170,""
"BART_012",340,100,220,""
"BART_013",120,240,0,""
"BART_015",320,80,200,""
"BART_016",340,100,220,""
"BART_018",40,160,280,""
"BART_023",10,130,250,""
"BART_024",280,40,160,""
"BART_025",20,140,260,""
"BART_026",270,30,150,""
"BART_027",170,290,50,""
"BART_028",170,290,50,""
