"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"LENO_001",40,160,280,""
"LENO_002",70,190,310,""
"LENO_003",220,340,100,""
"LENO_004",170,290,50,""
"LENO_005",30,150,270,""
"LENO_006",130,250,10,""
"LENO_007",140,260,20,""
"LENO_008",190,310,70,""
"LENO_009",210,330,90,""
"LENO_010",140,260,20,""
"LENO_011",190,310,70,""
"LENO_012",210,330,90,""
"LENO_013",40,160,280,""
"LENO_014",70,190,310,""
"LENO_015",290,50,170,""
"LENO_016",70,190,310,""
"LENO_017",260,20,140,""
"LENO_018",270,30,150,""
"LENO_021",270,30,150,""
"LENO_022",50,170,290,""
