"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"OAES_042",160,280,40,""
"OAES_043",10,130,250,""
"OAES_044",280,40,160,""
"OAES_045",180,300,60,""
"OAES_046",150,270,30,""
"OAES_047",250,10,130,""
"OAES_048",300,60,180,""
"OAES_049",320,80,200,""
"OAES_050",250,10,130,""
"OAES_051",300,60,180,""
"OAES_052",320,80,200,""
"OAES_053",110,230,350,""
"OAES_054",140,260,20,""
"OAES_055",10,130,250,""
"OAES_056",170,290,50,""
"OAES_057",340,100,220,""
"OAES_058",190,310,70,""
"OAES_059",100,220,340,""
"OAES_060",340,100,220,""
"OAES_061",190,310,70,""
"OAES_062",100,220,340,""
"OAES_063",40,160,280,""
"OAES_064",160,280,40,""
"OAES_065",80,200,320,""
"OAES_066",350,110,230,""
"OAES_067",230,350,110,""
"OAES_068",140,260,20,""
"OAES_069",250,10,130,""
"OAES_070",230,350,110,""
"OAES_071",140,260,20,""
