"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"GUAN_042",250,10,130,""
"GUAN_043",270,30,150,""
"GUAN_044",200,320,80,""
"GUAN_045",300,60,180,""
"GUAN_046",20,140,260,""
"GUAN_047",340,100,220,""
"GUAN_048",300,60,180,""
"GUAN_049",100,220,340,""
"GUAN_050",340,100,220,""
"GUAN_051",300,60,180,""
"GUAN_052",100,220,340,""
"GUAN_053",190,310,70,""
"GUAN_054",220,340,100,""
"GUAN_055",140,260,20,""
"GUAN_056",190,310,70,""
"GUAN_057",220,340,100,""
"GUAN_058",50,170,290,""
"GUAN_059",170,290,50,""
"GUAN_060",220,340,100,""
"GUAN_061",50,170,290,""
