"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"STEI_001",190,310,70,""
"STEI_002",80,200,320,""
"STEI_003",140,260,20,""
"STEI_004",30,150,270,""
"STEI_005",70,190,310,""
"STEI_006",150,270,30,""
"STEI_007",270,30,150,""
"STEI_008",310,70,190,""
"STEI_009",160,280,40,""
"STEI_010",270,30,150,""
"STEI_011",310,70,190,""
"STEI_012",160,280,40,""
"STEI_013",270,30,150,""
"STEI_014",330,90,210,""
"STEI_015",80,200,320,""
"STEI_016",40,160,280,""
"STEI_017",240,0,120,""
"STEI_019",300,60,180,""
"STEI_021",280,40,160,""
"STEI_022",300,60,180,""
