"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"CLBJ_031",110,230,350,""
"CLBJ_032",100,220,340,""
"CLBJ_033",100,220,340,""
"CLBJ_034",130,250,10,""
"CLBJ_035",70,190,310,""
"CLBJ_036",160,280,40,""
"CLBJ_037",280,40,160,""
"CLBJ_038",250,10,130,""
"CLBJ_039",0,120,240,""
"CLBJ_040",280,40,160,""
"CLBJ_041",250,10,130,""
"CLBJ_042",0,120,240,""
"CLBJ_043",210,330,90,""
"CLBJ_044",50,170,290,""
"CLBJ_045",270,30,150,""
"CLBJ_046",240,0,120,""
"CLBJ_047",120,240,0,""
"CLBJ_049",280,40,160,""
"CLBJ_051",60,180,300,""
"CLBJ_052",280,40,160,""
