"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"NIWO_040",90,210,330,""
"NIWO_041",320,80,200,""
"NIWO_042",20,140,260,""
"NIWO_043",330,90,210,""
"NIWO_044",140,260,20,""
"NIWO_045",300,60,180,""
"NIWO_046",150,270,30,""
"NIWO_047",230,350,110,""
"NIWO_048",220,340,100,""
"NIWO_049",50,170,290,""
"NIWO_050",230,350,110,""
"NIWO_051",220,340,100,""
"NIWO_052",50,170,290,""
"NIWO_053",350,110,230,""
"NIWO_054",300,60,180,""
"NIWO_055",270,30,150,""
"NIWO_056",190,310,70,""
"NIWO_057",20,140,260,""
"NIWO_058",10,130,250,""
"NIWO_059",160,280,40,""
"NIWO_060",20,140,260,""
"NIWO_061",10,130,250,""
"NIWO_062",160,280,40,""
"NIWO_063",70,190,310,""
"NIWO_064",240,0,120,""
"NIWO_065",0,120,240,""
"NIWO_066",300,60,180,""
"NIWO_067",290,50,170,""
"NIWO_068",280,40,160,""
"NIWO_069",150,270,30,""
