"","siteID","plotID","boutNumber","measuredBy","recordedBy","entered.by","date","subplot","taxonID","Check52","taxonIDRemarks","identificationQualifier","morphospeciesID","morphoSpeciesRemarks","percentCover","remarks","moss...cover","photoID","X"
"1:1","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1.1","CATE11",NA,"","","","",20,"",NA,NA,NA
"1:2","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1.1","SAPU15",NA,"","","","",6,"",NA,NA,NA
"1:3","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1.1","SARE2",NA,"","","","",20,"",NA,NA,NA
"1:4","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1.1","PEFR5",NA,"","","","",3,"",NA,NA,NA
"1:5","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1.1","VAVI",NA,"","","","",2,"",NA,NA,NA
"1:6","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1.1","PECA2",NA,"","","","",0.5,"",NA,NA,NA
"1:7","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1.1","DRIN4",NA,"","","","",5,"",NA,NA,NA
"1:8","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1.1","CAREX",NA,"CS","","CAPE8/CAME4","",20,"",NA,NA,NA
"1:9","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1.1","BIVI2",NA,"","","","",0.5,"",NA,NA,NA
"1:10","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1.1","EQSC",NA,"","","","",0.5,"",NA,NA,NA
"1:11","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1.1","TOPU",NA,"","","","",0.5,"",NA,NA,NA
"1:12","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1.1","POBI5",NA,"","","","",0.5,"",NA,NA,NA
"1:13","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.4.1","CAREX",NA,"CS","","CAPE8/CAME4","",30,"",NA,NA,NA
"1:14","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.4.1","VAVI",NA,"","","","",7,"",NA,NA,NA
