"","plotID","eventID","_child_record_id","_record_id","_parent_id","_record_status","_title","_version","_created_at","_updated_at","domainID","_record_assigned_to","_created_by","_updated_by","_index","_geometry","_latitude","_longitude","_changeset_id","_created_duration","_updated_duration","_edited_duration","individualfate","parent_child_check","plotid_child","lidsazimuth_choices","targetTaxaPresent","forkedlog","forkcount","elliptical_particles","logDistance","minimum_round_diameter_rdmin","logMaxDiameter","logMinorDiameter","round_diameter_equivalent_rde","show_calculator_help","majoraxisdiameter1","minoraxisdiameter1","majoraxisdiameter2","minoraxisdiameter2","majoraxisdiameter3","minoraxisdiameter3","majoraxisdiameter4","minoraxisdiameter4","majoraxisdiameter5","minoraxisdiameter5","majoraxisdiameter6","minoraxisdiameter6","majoraxisdiameter7","minoraxisdiameter7","majoraxisdiameter8","minoraxisdiameter8","majoraxisdiameter9","minoraxisdiameter9","majoraxisdiameter10","minoraxisdiameter10","large_log","logid_10cm","new_logid_10cm","logid_greater10cm","logid_10cm_new","logID","individualid","tagstatus","unique_logid","vsttagid_input","vsttagid","logidlabel","logid_ingest","cdw_qualification_remarks","logLength","taxonid_select_d01","taxonid_select_d02","taxonid_select_d03","taxonid_select_d04","taxonid_select_d05","taxonid_select_d06","taxonid_select_d07","taxonid_select_d08","taxonid_select_d09","taxonid_select_d10","taxonid_select_d11","taxonid_select_d12","taxonid_select_d13","taxonid_select_d14","taxonid_select_d15","taxonid_select_d16","taxonid_select_d17","taxonid_select_d18","taxonid_select_d19","taxonid_select_d20","decay_class_check","taxonID","acceptedtaxonid","scientificName","identificationqualifier","diameterClass","decayClass","decayClassNum","leavespresent","twigspresent","branchespresent","branchesbarkcover","logbarkcover","loghandbreakable","logholdsshape","perlog_remark","lidsAzimuth","volumefactor_ingest","measuredby","recordedby","samplingProtocolVersion","dataqf","individualbarcode","charextent","chardepth","volumeFactor","siteID"
"1","SOAP_002","CDW.2023.SOAP","603b1153-a8c0-47ca-a2b0-7e3bea7c11d0","fe5fdf18-8424-48e1-92f2-60fa18c2d8d4","fe5fdf18-8424-48e1-92f2-60fa18c2d8d4","complete","30, log 00298, 41.3, 33.6, PIPO",2,"2023-10-17 19:50:31 UTC","2023-10-17 19:56:36 UTC","D17",NA,"Fulcrum 03002","CI Fulcrum Full Access",3,"SRID=4326;POINT(-119.28168102715298 37.03079085119904)","37.03079085119904",-119.281681027152,"0aa5bcee-ac1e-43bc-9283-2e33a3553ab0",250,44,294,NA,"D17","SOAP_002.basePlot.cdw",30,"Y","N",1,"no",41.3,"RDmin is 28.34 (cm)",33.6,33.6,33.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,"00298","00298","NEON.CDW.D17.00298","ok","NEON.CDW.D17.00298_41.3",NA,NA,"log 00298","00298",NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5eaff984-d56c-4490-be0d-ef281c805f7f",NA,NA,NA,"require","PIPO","PIPO","Pinus ponderosa Lawson & C. Lawson",NA,">=10cm","2 - Sound round",2,"N","N","Y","51-75%","26-50%","N","N",NA,30,8,"alesch@battelleecology.org","fong@battelleecology.org","NEON.DOC.001711vG","NONE",NA,"none","none",8,"SOAP"
"2","SOAP_002","CDW.2023.SOAP","779e12cd-4a4b-45bb-ab68-2aeac5229ffc","fe5fdf18-8424-48e1-92f2-60fa18c2d8d4","fe5fdf18-8424-48e1-92f2-60fa18c2d8d4","complete","30, log 00299, 15.8, 50.9, PIPO",2,"2023-10-17 19:43:38 UTC","2023-10-17 19:50:03 UTC","D17",NA,"Fulcrum 03002","CI Fulcrum Full Access",2,"SRID=4326;POINT(-119.28163869599899 37.03085202248237)","37.03085202248237",-119.281638695998,"0aa5bcee-ac1e-43bc-9283-2e33a3553ab0",385,385,385,NA,"D17","SOAP_002.basePlot.cdw",30,"Y","N",1,"no",15.8,"RDmin is 17.53 (cm)",50.9,50.9,50.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,"00299","00299","NEON.CDW.D17.00299","ok","NEON.CDW.D17.00299_15.8",NA,NA,"log 00299","00299",NA,24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5eaff984-d56c-4490-be0d-ef281c805f7f",NA,NA,NA,"require","PIPO","PIPO","Pinus ponderosa Lawson & C. Lawson",NA,">=10cm","2 - Sound round",2,"N","N","Y","26-50%","<5%","N","N",NA,30,8,"alesch@battelleecology.org","fong@battelleecology.org","NEON.DOC.001711vG","NONE",NA,"none","none",8,"SOAP"
"3","SOAP_002","CDW.2023.SOAP","cc7dadb3-f542-4dc6-8ac2-ebfa6e2d6757","fe5fdf18-8424-48e1-92f2-60fa18c2d8d4","fe5fdf18-8424-48e1-92f2-60fa18c2d8d4","complete","30, log 00300, 11.3, 59, PIPO",2,"2023-10-17 19:37:23 UTC","2023-10-17 19:43:30 UTC","D17",NA,"Fulcrum 03002","CI Fulcrum Full Access",1,"SRID=4326;POINT(-119.2816989687412 37.03080113306026)","37.03080113306026",-119.281698968741,"0aa5bcee-ac1e-43bc-9283-2e33a3553ab0",367,367,367,NA,"D17","SOAP_002.basePlot.cdw",30,"Y","N",1,"no",11.3,"RDmin is 14.83 (cm)",59,59,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,"00300","00300","NEON.CDW.D17.00300","ok","NEON.CDW.D17.00300_11.3",NA,NA,"log 00300","00300",NA,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5eaff984-d56c-4490-be0d-ef281c805f7f",NA,NA,NA,"require","PIPO","PIPO","Pinus ponderosa Lawson & C. Lawson",NA,">=10cm","2 - Sound round",2,"N","N","Y","<5%","<5%","N","Y",NA,30,8,"alesch@battelleecology.org","fong@battelleecology.org","NEON.DOC.001711vG","NONE",NA,"none","none",8,"SOAP"
"4","SOAP_002","CDW.2023.SOAP","b8a0bd1f-50cd-40e2-a6c3-75d5cd4fa61b","fe5fdf18-8424-48e1-92f2-60fa18c2d8d4","fe5fdf18-8424-48e1-92f2-60fa18c2d8d4","complete","30, log 00700, 2.7, 26.1, CADE27",2,"2023-10-17 19:12:57 UTC","2023-10-17 19:37:20 UTC","D17",NA,"Fulcrum 03002","CI Fulcrum Full Access",0,"SRID=4326;POINT(-119.2817761245735 37.03049795558663)","37.03049795558663",-119.281776124573,"0aa5bcee-ac1e-43bc-9283-2e33a3553ab0",885,885,885,NA,"D17","SOAP_002.basePlot.cdw",30,"Y","N",1,"no",2.7,"RDmin is 7.25 (cm)",26.1,26.1,26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,"0700","00700","NEON.CDW.D17.00700","ok","NEON.CDW.D17.00700_2.7",NA,NA,"log 00700","00700",NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f7f2d845-fd13-4a06-a70a-07485441cfc9",NA,NA,NA,"require","CADE27","CADE27","Calocedrus decurrens (Torr.) Florin",NA,">=10cm","3 - Heartwood sound",3,"N","N","N",NA,"<5%","N","Y","Average char depth: moderate. 25-50%.",30,8,"alesch@battelleecology.org","fong@battelleecology.org","NEON.DOC.001711vG","NONE",NA,"26-50","0-1",8,"SOAP"
"5","SOAP_002","CDW.2023.SOAP","13811603-bae5-4e2a-8137-6a4182328991","fe5fdf18-8424-48e1-92f2-60fa18c2d8d4","fe5fdf18-8424-48e1-92f2-60fa18c2d8d4","complete","270, log 01699, 5.5, 35.1, PIPO",2,"2023-10-17 20:53:53 UTC","2023-10-17 20:58:00 UTC","D17",NA,"Fulcrum 03002","CI Fulcrum Full Access",5,"SRID=4326;POINT(-119.28176026074502 37.03077346614707)","37.03077346614707",-119.281760260745,"0aa5bcee-ac1e-43bc-9283-2e33a3553ab0",247,247,247,NA,"D17","SOAP_002.basePlot.cdw",270,"Y","N",1,"no",5.5,"RDmin is 10.34 (cm)",35.1,35.1,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,"1699","01699","NEON.CDW.D17.01699","ok","NEON.CDW.D17.01699_5.5",NA,NA,"log 01699","01699",NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5eaff984-d56c-4490-be0d-ef281c805f7f",NA,NA,NA,"require","PIPO","PIPO","Pinus ponderosa Lawson & C. Lawson",NA,">=10cm","2 - Sound round",2,"Y","Y","Y",">95%",">95%","N","Y",NA,270,8,"alesch@battelleecology.org","fong@battelleecology.org","NEON.DOC.001711vG","NONE",NA,"none","none",8,"SOAP"
"6","SOAP_002","CDW.2023.SOAP","58c71636-547a-4a56-9027-4ba36972e5bb","fe5fdf18-8424-48e1-92f2-60fa18c2d8d4","fe5fdf18-8424-48e1-92f2-60fa18c2d8d4","complete","150, log 01700, 7.8, 34.6, PIPO",2,"2023-10-17 20:23:26 UTC","2023-10-17 20:29:16 UTC","D17",NA,"Fulcrum 03002","CI Fulcrum Full Access",4,"SRID=4326;POINT(-119.2817494509059 37.03068057877987)","37.03068057877987",-119.281749450905,"0aa5bcee-ac1e-43bc-9283-2e33a3553ab0",349,349,349,NA,"D17","SOAP_002.basePlot.cdw",150,"Y","N",1,"no",7.8,"RDmin is 12.32 (cm)",34.6,34.6,34.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,"1700","01700","NEON.CDW.D17.01700","ok","NEON.CDW.D17.01700_7.8",NA,NA,"log 01700","01700",NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5eaff984-d56c-4490-be0d-ef281c805f7f",NA,NA,NA,"require","PIPO","PIPO","Pinus ponderosa Lawson & C. Lawson",NA,">=10cm","2 - Sound round",2,"N","N","Y","51-75%","5-10%","N","Y",NA,150,8,"alesch@battelleecology.org","fong@battelleecology.org","NEON.DOC.001711vG","NONE",NA,"none","none",8,"SOAP"
"7","SOAP_004","CDW.2023.SOAP","fc46fb4c-ff85-4493-a950-fa6a72b251b9","b0eadad1-2e52-4a24-acb3-c927a03f6921","b0eadad1-2e52-4a24-acb3-c927a03f6921","complete","90, log 00959, 13.5, 23.9, PIPO",2,"2023-10-19 16:39:09 UTC","2023-10-19 16:41:06 UTC","D17",NA,"Fulcrum 03004","CI Fulcrum Full Access",11,"SRID=4326;POINT(-119.26945253406876 37.03741639945605)","37.03741639945605",-119.269452534068,"700a4a7e-e0a2-464b-b56a-0ed3a2a1d796",117,117,117,NA,"D17","SOAP_004.basePlot.cdw",90,"Y","N",1,"no",13.5,"RDmin is 16.21 (cm)",23.9,23.9,23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,"0959","00959","NEON.CDW.D17.00959","ok","NEON.CDW.D17.00959_13.5",NA,NA,"log 00959","00959",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5eaff984-d56c-4490-be0d-ef281c805f7f",NA,NA,NA,"require","PIPO","PIPO","Pinus ponderosa Lawson & C. Lawson",NA,">=10cm","3 - Heartwood sound",3,"N","N","N",NA,"11-25%","N","Y",NA,90,8,"rodrigueze2@battelleecology.org","rodrigueze2@battelleecology.org","NEON.DOC.001711vG","NONE",NA,"none","none",8,"SOAP"
"8","SOAP_004","CDW.2023.SOAP","404b09cc-0a48-412f-8d5f-ec58705ce418","b0eadad1-2e52-4a24-acb3-c927a03f6921","b0eadad1-2e52-4a24-acb3-c927a03f6921","complete","90, log 00960, 5.5, 13.6, CADE27",2,"2023-10-19 16:36:29 UTC","2023-10-19 16:38:19 UTC","D17",NA,"Fulcrum 03004","CI Fulcrum Full Access",10,"SRID=4326;POINT(-119.26956680740926 37.03740377506845)","37.03740377506845",-119.269566807409,"700a4a7e-e0a2-464b-b56a-0ed3a2a1d796",109,109,109,NA,"D17","SOAP_004.basePlot.cdw",90,"Y","N",1,"no",5.5,"RDmin is 10.34 (cm)",13.6,13.6,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,"960","00960","NEON.CDW.D17.00960","ok","NEON.CDW.D17.00960_5.5",NA,NA,"log 00960","00960",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f7f2d845-fd13-4a06-a70a-07485441cfc9",NA,NA,NA,"require","CADE27","CADE27","Calocedrus decurrens (Torr.) Florin",NA,">=10cm","2 - Sound round",2,"N","N","N",NA,">95%","N","Y",NA,90,8,"rodrigueze2@battelleecology.org","rodrigueze2@battelleecology.org","NEON.DOC.001711vG","NONE",NA,"none","none",8,"SOAP"
"9","SOAP_004","CDW.2023.SOAP","3aeaad5e-6d83-4bcc-873b-f70773d60adc","b0eadad1-2e52-4a24-acb3-c927a03f6921","b0eadad1-2e52-4a24-acb3-c927a03f6921","complete","90, log 00961, 5, 19.5, PINUS",2,"2023-10-19 16:35:18 UTC","2023-10-19 16:36:28 UTC","D17",NA,"Fulcrum 03004","CI Fulcrum Full Access",9,"SRID=4326;POINT(-119.26950421964416 37.03742437214673)","37.03742437214673",-119.269504219644,"700a4a7e-e0a2-464b-b56a-0ed3a2a1d796",70,70,70,NA,"D17","SOAP_004.basePlot.cdw",90,"Y","N",1,"no",5,"RDmin is 9.86 (cm)",19.5,19.5,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,"961","00961","NEON.CDW.D17.00961","ok","NEON.CDW.D17.00961_5",NA,NA,"log 00961","00961",NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f063b282-f452-469a-8e21-6fc22306cb29",NA,NA,NA,"require","PINUS","PINUS","Pinus sp.",NA,">=10cm","3 - Heartwood sound",3,"N","N","N",NA,"<5%","N","Y",NA,90,8,"rodrigueze2@battelleecology.org","rodrigueze2@battelleecology.org","NEON.DOC.001711vG","NONE",NA,"none","none",8,"SOAP"
"10","SOAP_004","CDW.2023.SOAP","040a1141-725c-4f09-9b02-856f1689313c","b0eadad1-2e52-4a24-acb3-c927a03f6921","b0eadad1-2e52-4a24-acb3-c927a03f6921","complete","330, log 00964, 3.6, 15.4, CADE27",2,"2023-10-19 15:32:55 UTC","2023-10-19 15:38:09 UTC","D17",NA,"Fulcrum 03004","CI Fulcrum Full Access",0,"SRID=4326;POINT(-119.26946683474935 37.037278607692926)","37.037278607692926",-119.269466834749,"700a4a7e-e0a2-464b-b56a-0ed3a2a1d796",314,314,314,NA,"D17","SOAP_004.basePlot.cdw",330,"Y","N",1,"no",3.6,"RDmin is 8.37 (cm)",15.4,15.4,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,"0964","00964","NEON.CDW.D17.00964","ok","NEON.CDW.D17.00964_3.6",NA,NA,"log 00964","00964",NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f7f2d845-fd13-4a06-a70a-07485441cfc9",NA,NA,NA,"require","CADE27","CADE27","Calocedrus decurrens (Torr.) Florin",NA,">=10cm","2 - Sound round",2,"N","N","Y","5-10%",">95%","N","Y",NA,330,8,"rodrigueze2@battelleecology.org","rodrigueze2@battelleecology.org","NEON.DOC.001711vG","NONE",NA,"none","none",8,"SOAP"
