mortonOrder,plotID,siteID,nlcdClass,plotType,subtype,applicableModules,notes,annualTowerVst
3,BARR_001,BARR,sedgeHerbaceous,distributed,basePlot,all|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
4,BARR_002,BARR,sedgeHerbaceous,distributed,basePlot,all|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
10,BARR_003,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
18,BARR_004,BARR,sedgeHerbaceous,distributed,basePlot,all|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
23,BARR_005,BARR,sedgeHerbaceous,distributed,basePlot,all|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
42,BARR_006,BARR,sedgeHerbaceous,distributed,basePlot,all|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
50,BARR_007,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
51,BARR_008,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
52,BARR_009,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
55,BARR_010,BARR,sedgeHerbaceous,distributed,basePlot,,,NA
56,BARR_011,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
67,BARR_012,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
68,BARR_013,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
72,BARR_014,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
80,BARR_015,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
114,BARR_016,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
115,BARR_017,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
120,BARR_018,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|dhp|div|hbp|vst,,NA
126,BARR_019,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|dhp|div|hbp|vst,,NA
128,BARR_020,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|dhp|div|hbp|vst,,NA
130,BARR_021,BARR,emergentHerbaceousWetlands,distributed,birdGrid,brd,,NA
130,BARR_021,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|div,,NA
130,BARR_021,BARR,emergentHerbaceousWetlands,distributed,tickPlot,,,NA
131,BARR_022,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|dhp|div|hbp|vst,,NA
135,BARR_023,BARR,sedgeHerbaceous,distributed,basePlot,all|div,,NA
136,BARR_024,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|div,,NA
144,BARR_025,BARR,sedgeHerbaceous,distributed,basePlot,all|div,,NA
148,BARR_026,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|div,,NA
152,BARR_027,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|div,,NA
178,BARR_028,BARR,sedgeHerbaceous,distributed,basePlot,all|div,,NA
211,BARR_029,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|div,,NA
211,BARR_029,BARR,emergentHerbaceousWetlands,distributed,tickPlot,tck,,NA
259,BARR_030,BARR,sedgeHerbaceous,distributed,birdGrid,brd,,NA
259,BARR_030,BARR,sedgeHerbaceous,distributed,mammalGrid,mam,,NA
259,BARR_030,BARR,sedgeHerbaceous,distributed,tickPlot,tck,,NA
259,BARR_030,BARR,sedgeHerbaceous,distributed,basePlot,all|bet|div,,NA
370,BARR_031,BARR,sedgeHerbaceous,distributed,birdGrid,brd,,NA
370,BARR_031,BARR,sedgeHerbaceous,distributed,tickPlot,tck,,NA
370,BARR_031,BARR,sedgeHerbaceous,distributed,basePlot,all|bet,,NA
386,BARR_032,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|div,,NA
386,BARR_032,BARR,emergentHerbaceousWetlands,distributed,mammalGrid,,,NA
392,BARR_033,BARR,sedgeHerbaceous,distributed,mammalGrid,,,NA
392,BARR_033,BARR,sedgeHerbaceous,distributed,tickPlot,,,NA
392,BARR_033,BARR,sedgeHerbaceous,distributed,basePlot,,,NA
498,BARR_034,BARR,sedgeHerbaceous,distributed,birdGrid,brd,,NA
498,BARR_034,BARR,sedgeHerbaceous,distributed,tickPlot,tck,,NA
498,BARR_034,BARR,sedgeHerbaceous,distributed,basePlot,all|bet,,NA
514,BARR_035,BARR,emergentHerbaceousWetlands,distributed,birdGrid,brd,,NA
