uid,date,plotID,subplotID,nestedSubplotID,tagID,supportingStemTagID,pointID,stemAzimuth,stemDistance,scientificName,identificationQualifier,growthForm,remarks
1346,20140527,HARV_008,31,1,1307,,,,,Betula lenta,,SMT,
1347,20140527,HARV_008,31,1,1308,,,,,Betula lenta,,SMT,
1348,20140527,HARV_008,31,1,1309,,31,53.1,3.4,Hamamelis virginiana,,SIS,QC: no errors EM
1349,20140527,HARV_008,31,1,1309A,,,,,Hamamelis virginiana,,SIS,
1350,20140527,HARV_008,31,1,1310,,,,,Pinus strobus,,SAP,
1351,20140527,HARV_008,31,1,1311,,,,,Betula lenta,,SMT,
1352,20140527,HARV_008,31,1,1312,,,,,Betula lenta,,SMT,
1353,20140527,HARV_008,31,1,1313,,31,27.8,3,Betula lenta,,SIS,
1354,20140527,HARV_008,31,1,1313A,,,,,Betula lenta,,SIS,
1355,20140527,HARV_008,31,1,1314,,,,,Betula lenta,,SMT,QC: no errors EM
1356,20140527,HARV_008,31,1,1315,,31,11.2,2.7,Hamamelis virginiana,,SIS,
1357,20140527,HARV_008,31,1,1315A,,,,,Hamamelis virginiana,,SIS,
1358,20140527,HARV_008,31,1,1315B,,,,,Hamamelis virginiana,,SIS,
1359,20140527,HARV_008,31,1,1316,,,,,Hamamelis virginiana,,SMT,
1360,20140527,HARV_008,31,1,1317,,,,,Betula lenta,,SMT,
1361,20140527,HARV_008,31,1,1318,,,,,Betula lenta,,SAP,
1362,20140527,HARV_008,31,1,1319,,31,22.5,7.6,Quercus rubra,,SBT,
1363,20140527,HARV_008,31,1,1320,,31,72.8,8.8,Acer rubrum,,SBT,
1364,20140527,HARV_008,31,4,1321,,,,,Betula lenta,,SMT,
1365,20140527,HARV_008,31,4,1322,,,,,Betula lenta,,SMT,QC: no errors EM
1366,20140527,HARV_008,31,4,1323,,,,,Hamamelis virginiana,,SMT,
1367,20140527,HARV_008,31,4,1324,,41,254.6,2.3,Betula lenta,,SIS,
1368,20140527,HARV_008,31,4,1324A,,,,,Betula lenta,,SIS,
1369,20140527,HARV_008,31,4,1325,,41,205.2,2.4,Betula lenta,,SIS,
1370,20140527,HARV_008,31,4,1325A,,,,,Betula lenta,,SIS,QC: no errors EM
1371,20140527,HARV_008,31,4,1327,,,,,Betula lenta,,SMT,
1372,20140527,HARV_008,31,4,1328,,,,,Betula lenta,,SAP,
1373,20140527,HARV_008,31,4,1329,,,,,Hamamelis virginiana,,SMT,
1374,20140527,HARV_008,31,4,1330,,,,,Hamamelis virginiana,,SMT,
1375,20140527,HARV_008,40,1,1331,,,,,Hamamelis virginiana,,SMT,"QC: WHILE ENTERING NOTICED THAT THIS ENTRY HAD ""39"" WRITTEN AS THE SUBPLOT BUT LOOKED ERASED. THE REST OF THE SUBPLOTS BELOW IT WERE ALSO ERASED NUMBERS 30 AND WERE REPLACED WITH 40; DATA ENTERERS DECIDED THIS WAS PROBABLY SUPPOSED TO BE 40 JAH6/11/14"
1376,20140527,HARV_008,40,1,1332,,,,,Betula lenta,,SMT,QC: no errors EM
1377,20140527,HARV_008,40,1,1333,,,,,Betula lenta,,SMT,
1378,20140527,HARV_008,40,1,1334,,,,,Pinus strobus,,SAP,
1379,20140527,HARV_008,40,1,1335,,,,,Betula lenta,,SAP,
1380,20140527,HARV_008,40,3,1336,,,,,Betula lenta,,SMT,
1381,20140527,HARV_008,40,3,1337,,49,149.8,3,Hamamelis virginiana,,SIS,
1382,20140131,HARV_013,32,,1137,,41,110.7,5.3,Pinus strobus,,SBT,QC: No Error
1383,20140131,HARV_013,32,,1138,,41,120.8,7.1,Pinus strobus,,SBT,
1384,20140131,HARV_013,31,,1136,,41,215.9,2.6,Pinus strobus,,SBT,
1385,20140131,HARV_013,31,,1135,,41,190.5,5.4,Acer saccharum,,SBT,
1386,20140131,HARV_013,31,,1142,,41,205.6,6,Prunus serotina,,MBT,
1387,20140131,HARV_013,31,,1142A,,41,205.6,6,Prunus serotina,,MBT,
1388,20140131,HARV_013,31,,1143,,41,213,6.6,Pinus strobus,,SBT,
1389,20140131,HARV_013,31,,1145,,41,252.7,6.5,Pinus strobus,,SBT,
1390,20140131,HARV_013,31,,1151,,41,231.6,11.7,Pinus strobus,,SBT,
1391,20140131,HARV_013,31,,1147,,41,234.2,11.2,Pinus strobus,,SBT,
1392,20140131,HARV_013,31,,1148,,41,236.6,10,Pinus strobus,,SBT,QC: No Error
1393,20140131,HARV_013,40,,1146,,41,275.8,8.4,Quercus rubra,,SBT,
1394,20140131,HARV_013,40,,1149,,41,303.3,10,Pinus strobus,,sbt,
1395,20140131,HARV_013,40,,1150,,41,315.9,9.8,Pinus strobus,,sbt,
1396,20140131,HARV_013,41,,1139,,41,48.8,4.6,Pinus strobus,,sbt,
1397,20140131,HARV_013,41,,1140,,41,31.1,10.6,Pinus strobus,,sbt,
1398,20140131,HARV_013,41,,1141,,41,48.1,11.5,Pinus strobus,,sbt,
1399,20140131,HARV_013,31,,1144,,44,188.2,9.2,Pinus strobus,,sbt,
1400,20140131,HARV_013,40,3,1710,,,,,Betula lenta,,sap,
1401,20140131,HARV_013,40,3,1713,,,,,Pinus strobus,,sap,
1402,20140131,HARV_013,40,3,1712,,,,,Pinus strobus,,sap,QC: No Error
1403,20140131,HARV_013,40,3,1708,,,,,Pinus strobus,,sap,
