"domainid","siteid","plotid_parent","tallydate","yearboutbegan","eventid","volumefactor","samplingprotocolversion","lidsazimuth","targettaxapresent","logdistance","logmaxdiameter","minorlogdiameter","logid","loglength","taxonid","scientificname","decayclass"
"D13","NIWO","NIWO_003","2019-09-23T00:00:00.000Z",2019,"CDW.2019.NIWO","5","NEON.DOC.001711vF",50,"N",NA,NA,NA,NA,NA,NA,NA,NA
"D13","NIWO","NIWO_003","2019-09-23T00:00:00.000Z",2019,"CDW.2019.NIWO","5","NEON.DOC.001711vF",170,"N",NA,NA,NA,NA,NA,NA,NA,NA
"D13","NIWO","NIWO_003","2019-09-23T00:00:00.000Z",2019,"CDW.2019.NIWO","5","NEON.DOC.001711vF",290,"N",NA,NA,NA,NA,NA,NA,NA,NA
"D13","NIWO","NIWO_006","2019-09-23T00:00:00.000Z",2019,"CDW.2019.NIWO","5","NEON.DOC.001711vF",0,"N",NA,NA,NA,NA,NA,NA,NA,NA
"D13","NIWO","NIWO_006","2019-09-23T00:00:00.000Z",2019,"CDW.2019.NIWO","5","NEON.DOC.001711vF",120,"N",NA,NA,NA,NA,NA,NA,NA,NA
"D13","NIWO","NIWO_006","2019-09-23T00:00:00.000Z",2019,"CDW.2019.NIWO","5","NEON.DOC.001711vF",240,"N",NA,NA,NA,NA,NA,NA,NA,NA
"D13","NIWO","NIWO_008","2019-09-23T00:00:00.000Z",2019,"CDW.2019.NIWO","5","NEON.DOC.001711vF",60,"N",NA,NA,NA,NA,NA,NA,NA,NA
"D13","NIWO","NIWO_008","2019-09-23T00:00:00.000Z",2019,"CDW.2019.NIWO","5","NEON.DOC.001711vF",180,"N",NA,NA,NA,NA,NA,NA,NA,NA
"D13","NIWO","NIWO_008","2019-09-23T00:00:00.000Z",2019,"CDW.2019.NIWO","5","NEON.DOC.001711vF",300,"N",NA,NA,NA,NA,NA,NA,NA,NA
"D13","NIWO","NIWO_013","2019-09-24T00:00:00.000Z",2019,"CDW.2019.NIWO","5","NEON.DOC.001711vF",90,"N",NA,NA,NA,NA,NA,NA,NA,NA
"D13","NIWO","NIWO_013","2019-09-24T00:00:00.000Z",2019,"CDW.2019.NIWO","5","NEON.DOC.001711vF",210,"N",NA,NA,NA,NA,NA,NA,NA,NA
"D13","NIWO","NIWO_013","2019-09-24T00:00:00.000Z",2019,"CDW.2019.NIWO","5","NEON.DOC.001711vF",330,"N",NA,NA,NA,NA,NA,NA,NA,NA
"D13","NIWO","NIWO_018","2019-09-24T00:00:00.000Z",2019,"CDW.2019.NIWO","5","NEON.DOC.001711vF",80,"N",NA,NA,NA,NA,NA,NA,NA,NA
"D13","NIWO","NIWO_018","2019-09-24T00:00:00.000Z",2019,"CDW.2019.NIWO","5","NEON.DOC.001711vF",200,"N",NA,NA,NA,NA,NA,NA,NA,NA
"D13","NIWO","NIWO_018","2019-09-24T00:00:00.000Z",2019,"CDW.2019.NIWO","5","NEON.DOC.001711vF",320,"N",NA,NA,NA,NA,NA,NA,NA,NA
