mortonOrder,plotID,siteID,nlcdClass,plotType,subtype,applicableModules
3,BARR_001,BARR,sedgeHerbaceous,distributed,basePlot,all|bgc|cdw|cfc|dhp|div|hbp|sme|vst
4,BARR_002,BARR,sedgeHerbaceous,distributed,basePlot,all|bgc|cdw|cfc|dhp|div|hbp|sme|vst
10,BARR_003,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|bgc|cdw|cfc|dhp|div|hbp|sme|vst
18,BARR_004,BARR,sedgeHerbaceous,distributed,basePlot,all|bgc|cdw|cfc|dhp|div|hbp|sme|vst
23,BARR_005,BARR,sedgeHerbaceous,distributed,basePlot,all|bgc|cdw|cfc|dhp|div|hbp|sme|vst
42,BARR_006,BARR,sedgeHerbaceous,distributed,basePlot,all|bgc|cdw|cfc|dhp|div|hbp|sme|vst
50,BARR_007,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst
51,BARR_008,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst
52,BARR_009,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst
55,BARR_010,BARR,sedgeHerbaceous,distributed,basePlot,
56,BARR_011,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst
67,BARR_012,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst
68,BARR_013,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst
72,BARR_014,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst
80,BARR_015,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst
114,BARR_016,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst
115,BARR_017,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst
120,BARR_018,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|dhp|div|hbp|vst
126,BARR_019,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|dhp|div|hbp|vst
128,BARR_020,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|dhp|div|hbp|vst
130,BARR_021,BARR,emergentHerbaceousWetlands,distributed,birdGrid,brd
130,BARR_021,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|div
130,BARR_021,BARR,emergentHerbaceousWetlands,distributed,tickPlot,
131,BARR_022,BARR,sedgeHerbaceous,distributed,basePlot,all|cdw|dhp|div|hbp|vst
135,BARR_023,BARR,sedgeHerbaceous,distributed,basePlot,all|div
136,BARR_024,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|div
144,BARR_025,BARR,sedgeHerbaceous,distributed,basePlot,all|div
148,BARR_026,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|div
152,BARR_027,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|div
178,BARR_028,BARR,sedgeHerbaceous,distributed,basePlot,all|div
211,BARR_029,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|div
211,BARR_029,BARR,emergentHerbaceousWetlands,distributed,tickPlot,tck
259,BARR_030,BARR,sedgeHerbaceous,distributed,birdGrid,brd
259,BARR_030,BARR,sedgeHerbaceous,distributed,mammalGrid,mam
259,BARR_030,BARR,sedgeHerbaceous,distributed,tickPlot,tck
259,BARR_030,BARR,sedgeHerbaceous,distributed,basePlot,all|bet|div
370,BARR_031,BARR,sedgeHerbaceous,distributed,birdGrid,brd
370,BARR_031,BARR,sedgeHerbaceous,distributed,tickPlot,tck
370,BARR_031,BARR,sedgeHerbaceous,distributed,basePlot,all|bet
386,BARR_032,BARR,emergentHerbaceousWetlands,distributed,basePlot,all|div
386,BARR_032,BARR,emergentHerbaceousWetlands,distributed,mammalGrid,
392,BARR_033,BARR,sedgeHerbaceous,distributed,mammalGrid,
392,BARR_033,BARR,sedgeHerbaceous,distributed,tickPlot,
392,BARR_033,BARR,sedgeHerbaceous,distributed,basePlot,
498,BARR_034,BARR,sedgeHerbaceous,distributed,birdGrid,brd
498,BARR_034,BARR,sedgeHerbaceous,distributed,tickPlot,tck
498,BARR_034,BARR,sedgeHerbaceous,distributed,basePlot,all|bet
514,BARR_035,BARR,emergentHerbaceousWetlands,distributed,birdGrid,brd
514,BARR_035,BARR,emergentHerbaceousWetlands,distributed,basePlot,
562,BARR_036,BARR,sedgeHerbaceous,distributed,basePlot,all|bet
562,BARR_036,BARR,sedgeHerbaceous,distributed,mammalGrid,mam
626,BARR_037,BARR,sedgeHerbaceous,distributed,basePlot,all|bet
626,BARR_037,BARR,sedgeHerbaceous,distributed,mammalGrid,mam
626,BARR_037,BARR,sedgeHerbaceous,distributed,tickPlot,tck
627,BARR_038,BARR,sedgeHerbaceous,distributed,birdGrid,brd
627,BARR_038,BARR,sedgeHerbaceous,distributed,basePlot,
627,BARR_038,BARR,sedgeHerbaceous,distributed,mammalGrid,
818,BARR_039,BARR,sedgeHerbaceous,distributed,birdGrid,brd
888,BARR_040,BARR,emergentHerbaceousWetlands,distributed,birdGrid,
242,BARR_041,BARR,sedgeHerbaceous,distributed,mosquitoPoint,mos|mpt
642,BARR_042,BARR,emergentHerbaceousWetlands,distributed,mosquitoPoint,mos|mpt
962,BARR_043,BARR,emergentHerbaceousWetlands,distributed,mosquitoPoint,mos|mpt
1907,BARR_044,BARR,sedgeHerbaceous,distributed,mosquitoPoint,
1907,BARR_044,BARR,sedgeHerbaceous,distributed,basePlot,all|bet
1907,BARR_044,BARR,sedgeHerbaceous,distributed,mammalGrid,mam
2628,BARR_045,BARR,sedgeHerbaceous,distributed,mosquitoPoint,mos|mpt
2675,BARR_046,BARR,sedgeHerbaceous,distributed,mosquitoPoint,mos|mpt
3315,BARR_047,BARR,sedgeHerbaceous,distributed,mosquitoPoint,mos|mpt
4802,BARR_048,BARR,sedgeHerbaceous,distributed,mosquitoPoint,mos|mpt
4867,BARR_049,BARR,sedgeHerbaceous,distributed,mosquitoPoint,
4867,BARR_049,BARR,sedgeHerbaceous,distributed,basePlot,all|bet
5188,BARR_050,BARR,sedgeHerbaceous,distributed,mosquitoPoint,mos|mpt
116,BARR_051,BARR,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst
628,BARR_052,BARR,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst
1140,BARR_053,BARR,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst
712,TOOL_041,TOOL,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst
1736,TOOL_042,TOOL,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst
5832,TOOL_043,TOOL,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst
153,BONA_070,BONA,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst
409,BONA_071,BONA,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst
10393,BONA_080,BONA,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst
36,DEJU_045,DEJU,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst
740,DEJU_046,DEJU,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst
932,DEJU_047,DEJU,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst
21,HEAL_001,HEAL,dwarfScrub,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst
21,HEAL_001,HEAL,dwarfScrub,distributed,birdGrid,brd
21,HEAL_001,HEAL,dwarfScrub,distributed,tickPlot,tck
1894,UNDE_037,UNDE,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst
1958,UNDE_038,UNDE,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst
2918,UNDE_043,UNDE,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst
2292,BARR_054,BARR,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst
6872,TOOL_044,TOOL,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst
27033,BONA_084,BONA,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst
1316,DEJU_048,DEJU,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst
29,HEAL_002,HEAL,dwarfScrub,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst
2982,UNDE_044,UNDE,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst
665,BONA_072,BONA,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst
1689,BONA_073,BONA,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst
2713,BONA_074,BONA,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst
3481,BONA_075,BONA,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst
3737,BONA_076,BONA,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst
6809,BONA_077,BONA,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst
3828,BARR_081,BARR,,tower,phenology,phe
81524,BARR_082,BARR,,tower,phenology,phe
631,BARR_083,BARR,sedgeHerbaceous,distributed,basePlot,all|bet
631,BARR_083,BARR,sedgeHerbaceous,distributed,mammalGrid,mam
1651,BARR_084,BARR,sedgeHerbaceous,distributed,basePlot,all|bet
1651,BARR_084,BARR,sedgeHerbaceous,distributed,tickPlot,tck
1651,BARR_084,BARR,sedgeHerbaceous,distributed,mammalGrid,mam
4339,BARR_085,BARR,sedgeHerbaceous,distributed,basePlot,all|bet
13171,BARR_086,BARR,sedgeHerbaceous,distributed,mosquitoPoint,mos|mpt
7927,BARR_087,BARR,sedgeHerbaceous,distributed,mosquitoPoint,mos|mpt
2,BLAN_001,BLAN,deciduousForest,distributed,basePlot,all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst
2,BLAN_001,BLAN,deciduousForest,distributed,mammalGrid,mam
8,BLAN_002,BLAN,pastureHay,distributed,mammalGrid,
8,BLAN_002,BLAN,pastureHay,distributed,tickPlot,
8,BLAN_002,BLAN,pastureHay,distributed,basePlot,
9,BLAN_003,BLAN,pastureHay,distributed,mammalGrid,mam
9,BLAN_003,BLAN,pastureHay,distributed,basePlot,all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst
18,BLAN_004,BLAN,pastureHay,distributed,tickPlot,tck
18,BLAN_004,BLAN,pastureHay,distributed,basePlot,all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst
20,BLAN_005,BLAN,deciduousForest,distributed,basePlot,all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst
20,BLAN_005,BLAN,deciduousForest,distributed,tickPlot,tck
25,BLAN_006,BLAN,pastureHay,distributed,basePlot,all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst
25,BLAN_006,BLAN,pastureHay,distributed,mammalGrid,mam
36,BLAN_007,BLAN,deciduousForest,distributed,basePlot,all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst
55,BLAN_008,BLAN,pastureHay,distributed,tickPlot,tck
55,BLAN_008,BLAN,pastureHay,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst
66,BLAN_009,BLAN,deciduousForest,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst
66,BLAN_009,BLAN,deciduousForest,distributed,mammalGrid,mam
82,BLAN_010,BLAN,pastureHay,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst
84,BLAN_011,BLAN,deciduousForest,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst
89,BLAN_012,BLAN,deciduousForest,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst
89,BLAN_012,BLAN,deciduousForest,distributed,tickPlot,tck
119,BLAN_013,BLAN,deciduousForest,distributed,basePlot,all|brd|cdw|cfc|dhp|div|hbp|vst
121,BLAN_014,BLAN,pastureHay,distributed,basePlot,all|brd|cdw|cfc|dhp|div|hbp|vst
130,BLAN_015,BLAN,deciduousForest,distributed,basePlot,all|brd|cdw|cfc|dhp|div|hbp|vst
130,BLAN_015,BLAN,deciduousForest,distributed,tickPlot,tck
146,BLAN_016,BLAN,pastureHay,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst
148,BLAN_017,BLAN,deciduousForest,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst
153,BLAN_018,BLAN,deciduousForest,distributed,basePlot,all|brd|cdw|dhp|div|hbp|vst
164,BLAN_019,BLAN,pastureHay,distributed,basePlot,all|brd|cdw|dhp|div|hbp|vst
192,BLAN_020,BLAN,pastureHay,distributed,basePlot,all|cdw|dhp|div|hbp|vst
192,BLAN_020,BLAN,pastureHay,distributed,tickPlot,tck
212,BLAN_021,BLAN,deciduousForest,distributed,mosquitoPoint,
244,BLAN_022,BLAN,pastureHay,distributed,mosquitoPoint,mos|mpt
249,BLAN_023,BLAN,deciduousForest,distributed,mosquitoPoint,mos|mpt
258,BLAN_024,BLAN,deciduousForest,distributed,mosquitoPoint,mos|mpt
356,BLAN_025,BLAN,deciduousForest,distributed,mosquitoPoint,mos|mpt
521,BLAN_026,BLAN,deciduousForest,distributed,mosquitoPoint,mos|mpt
608,BLAN_027,BLAN,deciduousForest,distributed,mosquitoPoint,mos|mpt
624,BLAN_028,BLAN,pastureHay,distributed,mosquitoPoint,
1145,BLAN_029,BLAN,pastureHay,distributed,mosquitoPoint,mos|mpt
2800,BLAN_030,BLAN,pastureHay,distributed,mosquitoPoint,
26,BLAN_031,BLAN,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst
90,BLAN_032,BLAN,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst
282,BLAN_033,BLAN,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst
474,BLAN_034,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
858,BLAN_035,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
1054,BLAN_036,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
1498,BLAN_037,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
1562,BLAN_038,BLAN,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst
1626,BLAN_039,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
2074,BLAN_040,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
2078,BLAN_041,BLAN,,tower,basePlot,
2394,BLAN_042,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
2842,BLAN_043,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
2970,BLAN_044,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
3098,BLAN_045,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
3674,BLAN_046,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
4682,BLAN_047,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
5038,BLAN_048,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
5402,BLAN_049,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
5466,BLAN_050,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
5914,BLAN_051,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
6042,BLAN_052,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
6234,BLAN_053,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
6746,BLAN_054,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
6810,BLAN_055,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
7514,BLAN_056,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
7626,BLAN_057,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
7642,BLAN_058,BLAN,,tower,basePlot,
8026,BLAN_059,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
8730,BLAN_060,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
3226,BLAN_061,BLAN,,tower,phenology,phe
12446,BLAN_062,BLAN,,tower,phenology,phe
9034,BLAN_063,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
9242,BLAN_064,BLAN,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst
1753,BLAN_065,BLAN,pastureHay,distributed,mosquitoPoint,mos|mpt
1,CPER_001,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst
1,CPER_001,CPER,grasslandHerbaceous,distributed,tickPlot,tck
2,CPER_002,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst
2,CPER_002,CPER,grasslandHerbaceous,distributed,mammalGrid,mam
2,CPER_002,CPER,grasslandHerbaceous,distributed,tickPlot,tck
18,CPER_003,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst
18,CPER_003,CPER,grasslandHerbaceous,distributed,tickPlot,tck
21,CPER_004,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst
21,CPER_004,CPER,grasslandHerbaceous,distributed,birdGrid,brd
21,CPER_004,CPER,grasslandHerbaceous,distributed,mammalGrid,mam
21,CPER_004,CPER,grasslandHerbaceous,distributed,tickPlot,tck
22,CPER_005,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst
22,CPER_005,CPER,grasslandHerbaceous,distributed,birdGrid,brd
22,CPER_005,CPER,grasslandHerbaceous,distributed,mammalGrid,mam
22,CPER_005,CPER,grasslandHerbaceous,distributed,tickPlot,tck
30,CPER_006,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst
30,CPER_006,CPER,grasslandHerbaceous,distributed,mammalGrid,mam
33,CPER_007,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst
33,CPER_007,CPER,grasslandHerbaceous,distributed,tickPlot,tck
39,CPER_008,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst
39,CPER_008,CPER,grasslandHerbaceous,distributed,mammalGrid,mam
39,CPER_008,CPER,grasslandHerbaceous,distributed,tickPlot,
62,CPER_009,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst
62,CPER_009,CPER,grasslandHerbaceous,distributed,birdGrid,brd
62,CPER_009,CPER,grasslandHerbaceous,distributed,mammalGrid,mam
65,CPER_010,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst
65,CPER_010,CPER,grasslandHerbaceous,distributed,tickPlot,
70,CPER_011,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst
70,CPER_011,CPER,grasslandHerbaceous,distributed,birdGrid,brd
70,CPER_011,CPER,grasslandHerbaceous,distributed,mammalGrid,mam
70,CPER_011,CPER,grasslandHerbaceous,distributed,tickPlot,
78,CPER_012,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst
78,CPER_012,CPER,grasslandHerbaceous,distributed,tickPlot,
82,CPER_013,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst
85,CPER_014,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst
85,CPER_014,CPER,grasslandHerbaceous,distributed,birdGrid,brd
86,CPER_015,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst
86,CPER_015,CPER,grasslandHerbaceous,distributed,birdGrid,brd
86,CPER_015,CPER,grasslandHerbaceous,distributed,mammalGrid,mam
94,CPER_016,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst
94,CPER_016,CPER,grasslandHerbaceous,distributed,birdGrid,brd
94,CPER_016,CPER,grasslandHerbaceous,distributed,mammalGrid,
97,CPER_017,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|dhp|div|hbp|vst
101,CPER_018,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|dhp|div|hbp|vst
101,CPER_018,CPER,grasslandHerbaceous,distributed,birdGrid,brd
110,CPER_019,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|dhp|div|hbp|vst
111,CPER_020,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|dhp|div|hbp|vst
118,CPER_021,CPER,grasslandHerbaceous,distributed,basePlot,all|div
129,CPER_022,CPER,grasslandHerbaceous,distributed,basePlot,all|div
130,CPER_023,CPER,grasslandHerbaceous,distributed,basePlot,all|div
146,CPER_024,CPER,grasslandHerbaceous,distributed,basePlot,all|div
149,CPER_025,CPER,grasslandHerbaceous,distributed,basePlot,all|div
158,CPER_026,CPER,grasslandHerbaceous,distributed,basePlot,all|div
162,CPER_027,CPER,grasslandHerbaceous,distributed,basePlot,all|div
167,CPER_028,CPER,grasslandHerbaceous,distributed,basePlot,all|div
174,CPER_029,CPER,grasslandHerbaceous,distributed,basePlot,all|div
174,CPER_029,CPER,grasslandHerbaceous,distributed,birdGrid,brd
180,CPER_030,CPER,grasslandHerbaceous,distributed,basePlot,all|div
210,CPER_031,CPER,grasslandHerbaceous,distributed,basePlot,
213,CPER_032,CPER,grasslandHerbaceous,distributed,basePlot,
222,CPER_033,CPER,grasslandHerbaceous,distributed,basePlot,
230,CPER_034,CPER,grasslandHerbaceous,distributed,basePlot,
239,CPER_035,CPER,grasslandHerbaceous,distributed,basePlot,
246,CPER_036,CPER,grasslandHerbaceous,distributed,basePlot,
246,CPER_036,CPER,grasslandHerbaceous,distributed,birdGrid,brd
257,CPER_037,CPER,grasslandHerbaceous,distributed,basePlot,
258,CPER_038,CPER,grasslandHerbaceous,distributed,basePlot,
274,CPER_039,CPER,grasslandHerbaceous,distributed,basePlot,
277,CPER_040,CPER,grasslandHerbaceous,distributed,basePlot,
