field_domain_id,field_site_id,field_site_name,field_site_type,field_site_subtype,field_colocated_site,field_site_host,field_site_url,field_nonneon_research_allowed,field_latitude,field_longitude,field_geodetic_datum,field_utm_northing,field_utm_easting,field_utm_zone,field_site_county,field_site_state,field_site_country,field_mean_evelation_m,field_minimum_elevation_m,field_maximum_elevation_m,field_mean_annual_temperature_C,field_mean_annual_precipitation_mm,field_dominant_wind_direction,field_mean_canopy_height_m,field_dominant_nlcd_classes,field_dominant_plant_species,field_usgs_huc,field_watership_name,field_watership_size_km2,field_lake_depth_mean_m,field_lake_depth_max_m,field_tower_height_m,field_megapit_soil_family,field_soil_subgroup,field_avg_number_of_green_days,field_avg_green_increase_doy,field_avg_green_max_doy,field_avg_green_decrease_doy,field_avg_green_min_doy,field_phenocams,field_number_tower_levels
D16,ABBY,"Abby Road NEON","Gradient Terrestrial",,,"Washington Department of Natural Resources",https://www.dnr.wa.gov/,No,45.762439,-122.330317,WGS84,5067870.43,552075.5426,10N,Clark,WA,US,365,,708,10.0°C,2451,,34.0,"Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub",,,,,,,19,"Fine-lomay - isotic - mesic - Andic Humudepts","Andic Humudepts",190,110,165,205,300,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D16.ABBY.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D16.ABBY.DP1.00042/",5
D10,ARIK,"Arikaree River NEON","Core Aquatic","Wadeable Stream",,"The Nature Conservancy|Fox Ranch",https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/fox-ranch/|https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/fox-ranch/,Yes,39.758206,-102.44715,WGS84,4404042.55,718694.3752,13N,Yuma,CO,US,1179,,,10.4°C,452,,,"Emergent Herbaceous Wetlands|Grassland/Herbaceous|Woody Wetlands",,[h10250001](https://water.usgs.gov/lookup/getwatershed?10250001),"Lower Sappa",2631.8,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D10.ARIK.DP1.20002/",
D03,BARC,"Lake Barco NEON","Core Aquatic",Lake,OSBS,"University of Florida Foundation",https://ordway-swisher.ufl.edu/ResearchUse.aspx,Yes,29.675982,-82.008414,WGS84,3283362.55,402358.9734,17N,Putnam,FL,US,27,,,20.9°C,1308,,,Shrub/Scrub,,[h03080103](https://water.usgs.gov/lookup/getwatershed?03080103),"Lower St. Johns",31.3,3.3,6.7,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D03.BARC.DP1.20002/",
D18,BARR,"Utqiaġvik NEON","Gradient Terrestrial",,,"Ukpeagvik Inupiat Corporation",http://www.north-slope.org/departments/planning-community-services/applications-and-forms,Yes,71.28241,-156.61936,WGS84,7910571.99,585246.1299,4N,"North Slope",AK,US,4,0,13,-12.0°C,105,E,0.3,"Emergent Herbaceous Wetlands",,,,,,,9,"Fine-silty - mixed - superactive - nonacid - pergelic Typic Histoturbels","Typic Histoturbels",45,175,195,210,220,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D18.BARR.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D18.BARR.DP1.00042/",4
D01,BART,"Bartlett Experimental Forest NEON","Gradient Terrestrial",,,"White Mountain National Forest, U.S. Forest Service (Northern Research Station)",https://www.nrs.fs.fed.us/ef/locations/nh/bartlett/,Yes,44.063889,-71.287375,WGS84,4881511.55,316812.1595,19N,Carroll,NH,US,274,230,655,6.2°C,1325,S,23.0,"Deciduous Forest|Evergreen Forest|Mixed Forest",,,,,,,35,"Coarse-loamy - isotic - frigid Aquic Haplorthods","Aquic Haplorthods",180,120,170,220,300,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D01.BART.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D01.BART.DP1.00042/",6
D17,BIGC,"Upper Big Creek NEON","Gradient Aquatic","Wadeable Stream",SOAP,"US Forest Service",https://www.fs.usda.gov/sierra/,Yes,37.059719,-119.257549,WGS84,4103686.50,299408.5848,11N,Fresno,CA,US,1197,,,13.4°C,900,,,"Evergreen Forest",,[h18030010](https://water.usgs.gov/lookup/getwatershed?18030010),"Upper King",10.9,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D17.BIGC.DP1.20002/",
D02,BLAN,"Blandy Experimental Farm NEON","Gradient Terrestrial",,LEWI,"University of Virginia|Casey Tree Farm",http://blandy.virginia.edu/research|https://caseytrees.org/about-us/casey-tree-farm/,"Yes (Tower and TIS)|Very Limited",39.033698,-78.041788,WGS84,4327545.88,753379.5421,17N,Clarke,VA,US,183,119,193,12.1°C,983,NW,1.0,"Deciduous Forest|Pasture/Hay",,,,,,,8,"Fine - mixed - subactive - mesic Ultic Hapludalfs","Ultic Hapludalfs",235,75,150,210,310,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D02.BLAN.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D02.BLAN.DP1.00042/",4
D12,BLDE,"Blacktail Deer Creek NEON","Core Aquatic","Wadeable Stream",YELL,"National Park Service",https://irma.nps.gov/rprs/,Limited,44.95011,-110.58715,WGS84,4977491.17,532567.1216,12N,Park,WY,US,2053,,,3.6°C,481,,,"Emergent Herbaceous Wetlands|Shrub/Scrub",,[h10070001](https://water.usgs.gov/lookup/getwatershed?10070001),"Yellowstone Headwaters",37.8,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D12.BLDE.DP1.20002/",
D11,BLUE,"Blue River NEON","Gradient Aquatic","Non-wadeable River",,"The Nature Conservancy",https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/okayanahli-preserve/,Yes,34.444218,-96.624201,WGS84,3813972.21,718273.9768,14N,Johnston,OK,US,289,,,16.4°C,1041,,,Grassland/Herbaceous|Pasture/Hay,,[h11140102](https://water.usgs.gov/lookup/getwatershed?11140102),Blue,322.2,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D11.BLUE.DP1.20002/",
D08,BLWA,"Black Warrior River NEON","Gradient Aquatic","Non-wadeable River",DELA,"US Army Corps of Engineers|Private",https://www.usace.army.mil/,"Limited|Very Limited",32.541529,-87.798151,WGS84,3600743.44,425055.8239,16N,Greene,AL,US,22,,,17.6°C,1372,,,"Woody Wetlands",,[h03160113](https://water.usgs.gov/lookup/getwatershed?03160113),"Lower Black Warrior",16159.4,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D08.BLWA.DP1.20002/",
