scientific_name,common_names,rating
Dittrichia graveolens,stinkwort,Moderate
Dittrichia viscosa,false yellowhead,Watch
Echium candicans,pride-of-Madeira,Limited
Echium plantagineum,Patterson's curse,Watch
Egeria densa,Brazilian egeria,High
Ehrharta calycina,purple veldtgrass,High
Ehrharta erecta,panic veldtgrass,Moderate
Ehrharta longiflora,long-flowered veldtgrass,Limited
Eichhornia crassipes,water hyacinth,High
Elaeagnus angustifolia,Russian olive,Moderate
Elymus caput-medusae,medusahead,High
Emex spinosa,devil's thorn,Moderate
Erica lusitanica,Spanish heath,Limited
Erodium cicutarium,redstem filaree,Limited
Eucalyptus camaldulensis,red gum,Limited
Eucalyptus cladocalyx,sugargum,Watch
Eucalyptus globulus,blue gum,Limited
Euphorbia lathyris,caper spurge,Watch
Euphorbia oblongata,eggleaf spurge,Limited
Euphorbia terracina,carnation spurge,Limited
Euphorbia virgata,leafy spurge,High
Fallopia ×bohemica,Bohemian knotweed (X Japanese and Giant),Watch
Fallopia japonica,Japanese knotweed,Moderate
Fallopia sachalinensis,giant knotweed,Moderate
Festuca arundinacea,reed fescue,Moderate
Festuca myuros,rat-tail fescue,Moderate
Festuca perennis,Italian ryegrass,Moderate
Ficus carica,edible fig,Moderate
Foeniculum vulgare,fennel,Moderate
Galega officinalis,professorweed,Watch
Gazania linearis,gazania,Moderate
Genista linifolia,Mediterranean broom,Watch
Genista monosperma,bridal veil broom,Moderate
Genista monspessulana,French broom,High
Geranium dissectum,cutleaf geranium,Limited
Geranium lucidum,shining geranium,Watch
Geranium purpureum,little robin,Limited
Glebionis coronaria,garland chrysanthemum,Limited
Glyceria declinata,mannagrass,Moderate
Grevillea robusta,silkoak,Watch
Gunnera tinctoria,Chilean gunnera,Watch
Gypsophila paniculata,baby's breath,Watch
Halogeton glomeratus,Halogeton,Moderate
Hedera canariensis,Algerian ivy,High
Hedera helix,English ivy,High
Helianthus tuberosus,Jerusalem artichoke,Watch
Helichrysum petiolare,licorice plant,Limited
Heliotropium amplexicaule,clasping heliotrope,Watch
Helminthotheca echioides,bristly ox-tongue,Limited
Heracleum mantegazzianum,giant hogweed,Watch
Hirschfeldia incana,short-pod mustard,Moderate
Holcus lanatus,common velvet grass,Moderate
Hordeum marinum,Mediterranean barley,Moderate
Hordeum murinum,hare barley,Moderate
Hydrilla verticillata,hydrilla,High
Hyparrhenia hirta,Tambookie grass,Watch
Hypericum androsaemum,sweet-amber,Watch
Hypericum canariense,Canary Island St. Johnswort,Moderate
Hypericum grandifolium,large-leaved hypericum,Watch
Hypericum perforatum,St. John's wort,Limited
Hypochaeris glabra,smooth cat's-ear,Limited
Hypochaeris radicata,rough cat's-ear,Moderate
Ilex aquifolium,English holly,Limited
Ipomoea indica,blue morningglory,Watch
Iris pseudacorus,yellowflag iris,Limited
Isatis tinctoria,dyer's woad,Moderate
Kniphofia uvaria,redhot poker,Watch
Kochia scoparia,kochia,Limited
Lantana camara,lantana,Watch
Lepidium chalepense,lens-podded hoary cress,Moderate
Lepidium draba,heart-podded hoary cress,Moderate
Lepidium latifolium,perennial pepperweed,High
Leptospermum laevigatum,Australian tea tree,Watch
Leucanthemum vulgare,ox-eye daisy,Moderate
Ligustrum lucidum,glossy privet,Limited
Limnobium spongia,South American spongeplant,High
Limonium duriusculum,European sea lavendar,Moderate
Limonium ramosissimum,Algerian sea lavendar,Limited
Linaria dalmatica ssp. dalmatica,dalmatian toadflax,Moderate
Linaria vulgaris,yellow toadflax,Moderate
Lobularia maritima,sweet alyssum,Limited
Ludwigia hexapetala,creeping waterprimrose,High
Ludwigia peploides,floating water primrose,High
Lythrum hyssopifolium,hyssop loosestrife,Moderate
Lythrum salicaria,purple loosestrife,High
Malephora crocea,coppery mesembryanthemum,Watch
Marrubium vulgare,horehound,Limited
Maytenus boaria,mayten,Watch
Medicago polymorpha,California burclover,Limited
Mentha pulegium,pennyroyal,Moderate
Mesembryanthemum crystallinum,crystalline iceplant,Moderate
Mesembryanthemum nodiflorum,slenderleaf iceplant,Limited
Myoporum laetum,ngaio tree,Moderate
Myosotis latifolia,common forget-me-not,Limited
Myriophyllum aquaticum,parrotfeather,High
Myriophyllum spicatum,spike watermilfoil,High
Nardus stricta,matgrass,Watch
Nicotiana glauca,tree tobacco,Moderate
Nothoscordum gracile,false garlic,Watch
Olea europaea,olive,Limited
Oncosiphon piluliferum,globe chamomile,Watch
Ononis alopecuroides,foxtail restharrow,Limited
Onopordum acanthium,Scotch thistle,High
Onopordum illyricum,Illyerian thistle,Watch
Orobanche aegyptiaca,Egyptian broomrape,Watch
Oxalis pes-caprae,Bermuda buttercup,Moderate
Paraserianthes lophantha,plume acacia,Watch
Parentucellia viscosa,yellow glandweed,Limited
Parthenium hysterophorus,Santa Maria feverfew,Watch
Paspalum urvillei,Vasey's grass,Watch
Paspalum vaginatum,seashore paspalum,Watch
Passiflora tarminiana,banana passionfruit,Watch
Peganum harmala,African-rue,Watch
Pennisetum clandestinum,kikuyugrass,Limited
Pennisetum setaceum,crimson fountain grass,Moderate
Pennisetum villosum,feathertop,Watch
Persicaria wallichii,Himalayan knotweed,Watch
Phalaris aquatica,harding grass,Moderate
Phoenix canariensis,Canary Island date palm,Limited
Phytolacca americana,common pokeweed,Limited
Pittosporum undulatum,Victorian box,Watch
Plantago lanceolata,English plantain,Limited
Plecostachys serpyllifolia,petite-licorice,Watch
Poa pratensis,Kentucky bluegrass,Limited
Polygala myrtifolia,myrtle-leaf milkwort,Watch
Polypogon monspeliensis,rabbitsfoot grass,Limited
Potamogeton crispus,curly-leaved pondweed,Moderate
Prunus cerasifera,cherry plum,Limited
Pyracantha angustifolia,narrowleaf firethorn,Limited
Pyracantha coccinea,scarlet firethorn,Limited
Pyracantha crenulata,Nepalese firethorn,Limited
Pyrus calleryana,Callery pear,Watch
Ranunculus repens,creeping buttercup,Limited
Raphanus sativus,wild radish,Limited
Rhamnus alaternus,Italian buckthorn,Watch
Ricinus communis,castor bean,Limited
Robinia pseudoacacia,black locust,Limited
Romulea rosea var. australis ,rosy sandcrocus,Watch
Rubus armeniacus,Himalayan blackberry,High
Rumex acetosella,sheep sorrel,Moderate
Rumex crispus,curly dock,Limited
Rytidosperma caespitosum,wallabygrass,Watch
Rytidosperma penicillatum,hairy wallaby grass,Limited
Saccharum ravennae,ravennagrass,Moderate
Salpichroa origanifolia,lily of the valley vine,Watch
Salsola paulsenii,barbwire Russian thistle,Limited
Salsola ryanii ,Ryan's Russian thistle,Watch
Salsola soda,glasswort,Moderate
Salsola tragus,Russian thistle,Limited
Salvia aethiopis,Mediterranean sage,Limited
Salvinia molesta,giant salvinia,High
Saponaria officinalis,bouncing-bet,Limited
Scabiosa atropurpurea,pincushion flower,Watch
Schinus molle,Peruvian pepper tree,Limited
Schinus terebinthifolius,Brazilian pepper tree,Moderate
Schismus arabicus,Mediterranean grass,Limited
Schismus barbatus,common Mediterranean grass,Limited
Scolymus hispanicus,goldenthistle,Watch
Senecio glomeratus,cutleaf burnweed,Moderate
Senecio jacobaea,tansy ragwort,Limited
Senecio linearifolius,fireweed groundsel,Watch
Sesbania punicea,scarlet wisteria,High
Silybum marianum,milk thistle,Limited
Sinapis arvensis,wild mustard,Limited
Sisymbrium irio,London rocket,Limited
Solanum aviculare,New Zealand nightshade,Watch
Solanum carolinense,Carolina horsenettle,Watch
Spartina alterniflora x S. foliosa,smooth hybrid cordgrass,High
Spartina anglica,English cordgrass,Moderate
Spartina densiflora,dense-flowered cordgrass,High
Spartina patens,Salt marsh hay,Limited
Spartium junceum,Spanish broom,High
Sphaerophysa salsula,alkali swainsonpea,Watch
Stipa brachychaeta,punagrass,Watch
Stipa capensis,Cape ricegrass,Moderate
Stipa manicata,Andean tussockgrass,Limited
Stipa miliacea var. miliacea,smilo grass,Limited
Stipa tenuissima,Mexican feathergrass,Watch
Tamarix aphylla,athel,Limited
Tamarix chinensis,Chinese tamarisk,High
Tamarix gallica,French tamarisk,High
Tamarix parviflora,smallflower tamarisk,High
Tamarix ramosissima,Saltcedar,High
Tanacetum vulgare,common tansy,Moderate
Tetragonia tetragonioides,New Zealand spinach,Limited
Thinopyrum junceiforme,Russian wheatgrass,Watch
Torilis arvensis,hedgeparsley,Moderate
Triadica sebifera,Chinese tallow tree,Moderate
Tribulus terrestris,puncture vine,Limited
Trifolium hirtum,rose clover,Limited
Ulex europaeus,gorse,High
Undaria pinnatifida,Japanese kelp,Limited
Ventenata dubia,North Africa grass,Watch
Verbascum thapsus,woolly mullein,Limited
Verbena bonariensis,tall vervain,Watch
Vinca major,periwinkle,Moderate
Volutaria tubuliflora,desert knapweed,Limited
Washingtonia robusta,Mexican fan palm,Moderate
Watsonia meriana,bulbil watsonia,Limited
Zantedeschia aethiopica,calla lily,Limited
Zostera japonica,dwarf eelgrass,Moderate
Zygophyllum fabago,Syrian beancaper,Watch
