table,DPNumber,dpID,fieldName,description,dataType,units,entryValidationRules,noDataOutcomePDA,noDataOutcomeUI,defaultValuePDA,defaultValueUI,exampleEntry,case,lovName,warningText,DPNumberOld
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00001.001.001.001,NEON.DOM.SITE.DP0.10004,uid,Unique ID within NEON database; an identifier for the record.,string,NA,NA,NA,NA,NA,NA,,,,,NEON.DOM.SIT.DP0.10004
div_1m2Data_in,,NEON.DOM.SITE.DP0.10004,domainID,Unique identifier of the NEON domain,string,NA,LHDD,fail,fail,previous value,previous value,D10,upper,,,
div_1m2Data_in,,NEON.DOM.SITE.DP0.10004,siteID,NEON site code,string,NA,LHDD,fail,fail,previous value,previous value,CPER,upper,,,
div_1m2Data_in,,NEON.DOM.SITE.DP0.10004,plotID,Plot identifier (NEON site code_XXX),string,NA,LHDD,fail,fail,previous value,previous value,CPER_001,upper,,,
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00122.001.001.001,NEON.DOM.SITE.DP0.10004,subplotID,Identifier for the NEON subplot,string,NA, '31.1.1' | '31.4.1' | '32.2.1' | '32.4.1' | '40.1.1' | '40.3.1' | '41.1.1' | '41.4.1',fail,warn,previous value,previous value,31.1.1,,div.subplotID,,NEON.DOM.SIT.DP0.10004
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00123.001.001.001,NEON.DOM.SITE.DP0.10004,divDataType,Identifier for the type of data recorded: plantSpecies or otherVariables,string,NA,plantSpecies' | 'otherVariables',fail,fail,previous value,previous value,plantSpecies,lower,div.divDataType,,NEON.DOM.SIT.DP0.10004
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00077.001.001.001,NEON.DOM.SITE.DP0.10004,targetTaxaPresent,Indicator of whether the sample contained individuals of the target taxa,string,NA,Y'|'N',fail,warn,NA,no data,Y,upper,targetTaxaPresent,,NEON.DOM.SIT.DP0.10004
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00124.001.001.001,NEON.DOM.SITE.DP0.10004,otherVariablesPresent,"Indicator of whether the sample contained other variables, such as abiotic, biotic, and non-vascular plant cover",string,NA,Y'|'N',fail,warn,NA,no data,Y,upper,div.otherVariablesPresent,,NEON.DOM.SIT.DP0.10004
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00012.001.001.001,NEON.DOM.SITE.DP0.10004,taxonID,"Species code, based on one or more sources",string,NA,"Conditional: if (divDataType is 'plantSpecies' & targetTaxonPresent = 'Y'): lookup table, else: null","Conditional: if (divDataType is 'plantSpecies' & targetTaxonPresent = 'Y'):fail, else: null","Conditional: if (divDataType is 'plantSpecies' & targetTaxonPresent = 'Y'): warn, else: null",no data,no data,BRTE,upper,,,NEON.DOM.SIT.DP0.10004
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00080.001.001.001,NEON.DOM.SITE.DP0.10004,acceptedTaxonID,"Accepted species code, based on one or more sources",string,NA,lookup table,NA,NA,NA,NA,BRTE,upper,,,NEON.DOM.SIT.DP0.10004
